FIPS,State,County,"Population Estimate, 2012","Population Estimate, 2016"
1001, Alabama,Autauga ,"55,027","55,416"
1003, Alabama,Baldwin ,"190,403","208,563"
1005, Alabama,Barbour ,"27,132","25,965"
1007, Alabama,Bibb ,"22,645","22,643"
1009, Alabama,Blount ,"57,772","57,704"
1011, Alabama,Bullock ,"10,654","10,362"
1013, Alabama,Butler ,"20,665","19,998"
1015, Alabama,Calhoun ,"117,208","114,611"
1017, Alabama,Chambers ,"34,084","33,843"
1019, Alabama,Cherokee ,"26,017","25,725"
1021, Alabama,Chilton ,"43,693","43,941"
1023, Alabama,Choctaw ,"13,549","12,993"
1025, Alabama,Clarke ,"25,148","24,392"
1027, Alabama,Clay ,"13,461","13,492"
1029, Alabama,Cleburne ,"14,928","14,924"
1031, Alabama,Coffee ,"51,180","51,226"
1033, Alabama,Colbert ,"54,493","54,216"
1035, Alabama,Conecuh ,"13,007","12,395"
1037, Alabama,Coosa ,"11,201","10,581"
1039, Alabama,Covington ,"37,842","37,458"
1041, Alabama,Crenshaw ,"13,920","13,913"
1043, Alabama,Cullman ,"80,351","82,471"
1045, Alabama,Dale ,"50,296","49,226"
1047, Alabama,Dallas ,"42,748","40,008"
1049, Alabama,DeKalb ,"70,961","70,900"
1051, Alabama,Elmore ,"80,291","81,799"
1053, Alabama,Escambia ,"38,063","37,728"
1055, Alabama,Etowah ,"104,215","102,564"
1057, Alabama,Fayette ,"16,966","16,546"
1059, Alabama,Franklin ,"31,652","31,628"
1061, Alabama,Geneva ,"27,012","26,614"
1063, Alabama,Greene ,"8,837","8,422"
1065, Alabama,Hale ,"15,393","14,952"
1067, Alabama,Henry ,"17,237","17,164"
1069, Alabama,Houston ,"103,382","104,056"
1071, Alabama,Jackson ,"53,087","52,138"
1073, Alabama,Jefferson ,"657,639","659,521"
1075, Alabama,Lamar ,"14,257","13,918"
1077, Alabama,Lauderdale ,"92,694","92,318"
1079, Alabama,Lawrence ,"33,788","33,244"
1081, Alabama,Lee ,"148,289","158,991"
1083, Alabama,Limestone ,"87,368","92,753"
1085, Alabama,Lowndes ,"10,835","10,358"
1087, Alabama,Macon ,"20,632","18,963"
1089, Alabama,Madison ,"342,773","356,967"
1091, Alabama,Marengo ,"20,451","19,673"
1093, Alabama,Marion ,"30,520","29,998"
1095, Alabama,Marshall ,"94,182","95,157"
1097, Alabama,Mobile ,"413,760","414,836"
1099, Alabama,Monroe ,"22,593","21,530"
1101, Alabama,Montgomery ,"228,708","226,349"
1103, Alabama,Morgan ,"120,123","119,012"
1105, Alabama,Perry ,"10,184","9,574"
1107, Alabama,Pickens ,"19,359","20,324"
1109, Alabama,Pike ,"33,113","33,286"
1111, Alabama,Randolph ,"22,623","22,652"
1113, Alabama,Russell ,"57,626","58,172"
1115, Alabama,St. Clair ,"85,168","88,019"
1117, Alabama,Shelby ,"200,789","210,622"
1119, Alabama,Sumter ,"13,448","13,040"
1121, Alabama,Talladega ,"81,941","80,103"
1123, Alabama,Tallapoosa ,"41,144","40,727"
1125, Alabama,Tuscaloosa ,"198,581","206,102"
1127, Alabama,Walker ,"66,211","64,967"
1129, Alabama,Washington ,"17,115","16,756"
1131, Alabama,Wilcox ,"11,355","10,986"
1133, Alabama,Winston ,"24,171","23,805"
2013, Alaska,Aleutians East ,"3,285","3,296"
2016, Alaska,Aleutians West ,"5,688","5,647"
2020, Alaska,Anchorage Municipality,"298,527","298,192"
2050, Alaska,Bethel ,"17,695","17,968"
2060, Alaska,Bristol Bay ,983,898
2068, Alaska,Denali Borough,"1,913","1,953"
2070, Alaska,Dillingham ,"4,963","4,954"
2090, Alaska,Fairbanks North Star Borough,"100,330","100,605"
2100, Alaska,Haines ,"2,572","2,496"
2105, Alaska,Hoonah-Angoon Census Area,"2,131","2,078"
2110, Alaska,Juneau ,"32,434","32,468"
2122, Alaska,Kenai Peninsula ,"56,952","58,506"
2130, Alaska,Ketchikan Gateway Borough,"13,711","13,746"
2150, Alaska,Kodiak Island ,"14,051","13,732"
2164, Alaska,Kusilvak ,"7,792","8,049"
2170, Alaska,Lake and Peninsula ,"1,644","1,562"
2180, Alaska,Matanuska-Susitna Borough,"93,791","104,365"
2185, Alaska,Nome,"9,873","9,917"
2188, Alaska,North Slope ,"9,662","9,606"
2195, Alaska,Northwest Arctic ,"7,721","7,673"
2198, Alaska,Petersburg ,"3,263","3,149"
2220, Alaska,Prince of Wales-Hyder ,"6,375","6,347"
2230, Alaska,Sitka ,"9,048","8,830"
2240, Alaska,Skagway ,990,"1,088"
2261, Alaska,Southeast Fairbanks ,"7,179","6,876"
2270, Alaska,Valdez-Cordova ,"9,729","9,355"
2275, Alaska,Wrangell ,"2,402","2,411"
2282, Alaska,Yakutat ,657,601
2290, Alaska,Yukon-Koyukuk ,"5,728","5,526"
4001, Arizona,Apache ,"72,968","73,112"
4003, Arizona,Cochise ,"131,843","125,770"
4005, Arizona,Coconino ,"135,999","140,908"
4007, Arizona,Gila ,"53,036","53,556"
4009, Arizona,Graham ,"36,958","37,599"
4011, Arizona,Greenlee ,"8,763","9,613"
4012, Arizona,La Paz ,"20,365","20,317"
4013, Arizona,Maricopa ,"3,942,959","4,242,997"
4015, Arizona,Mohave ,"203,126","205,249"
4017, Arizona,Navajo ,"107,037","110,026"
4019, Arizona,Pima ,"992,490","1,016,206"
4021, Arizona,Pinal ,"382,259","418,540"
4023, Arizona,Santa Cruz ,"47,321","45,985"
4025, Arizona,Yavapai ,"212,350","225,562"
4027, Arizona,Yuma ,"202,160","205,631"
5001, Arkansas,Arkansas ,"18,978","18,214"
5003, Arkansas,Ashley ,"21,491","20,492"
5005, Arkansas,Baxter ,"41,068","41,062"
5007, Arkansas,Benton ,"234,243","258,291"
5009, Arkansas,Boone ,"37,356","37,304"
5011, Arkansas,Bradley ,"11,273","10,996"
5013, Arkansas,Calhoun ,"5,306","5,144"
5015, Arkansas,Carroll ,"27,574","27,646"
5017, Arkansas,Chicot ,"11,473","10,945"
5019, Arkansas,Clark ,"22,807","22,657"
5021, Arkansas,Clay ,"15,568","14,920"
5023, Arkansas,Cleburne ,"25,824","25,264"
5025, Arkansas,Cleveland ,"8,615","8,241"
5027, Arkansas,Columbia ,"24,429","23,901"
5029, Arkansas,Conway ,"21,205","20,937"
5031, Arkansas,Craighead ,"99,948","105,835"
5033, Arkansas,Crawford ,"61,940","62,267"
5035, Arkansas,Crittenden ,"50,065","49,235"
5037, Arkansas,Cross ,"17,651","17,037"
5039, Arkansas,Dallas ,"7,979","7,469"
5041, Arkansas,Desha ,"12,575","11,876"
5043, Arkansas,Drew ,"18,762","18,651"
5045, Arkansas,Faulkner ,"118,534","122,227"
5047, Arkansas,Franklin ,"17,957","17,626"
5049, Arkansas,Fulton ,"12,246","12,123"
5051, Arkansas,Garland ,"96,794","97,477"
5053, Arkansas,Grant ,"18,026","18,082"
5055, Arkansas,Greene ,"43,166","44,598"
5057, Arkansas,Hempstead ,"22,346","21,974"
5059, Arkansas,Hot Spring ,"33,457","33,374"
5061, Arkansas,Howard ,"13,693","13,377"
5063, Arkansas,Independence ,"36,925","37,168"
5065, Arkansas,Izard ,"13,522","13,433"
5067, Arkansas,Jackson ,"17,649","17,221"
5069, Arkansas,Jefferson ,"74,618","70,016"
5071, Arkansas,Johnson ,"25,911","26,176"
5073, Arkansas,Lafayette ,"7,441","6,847"
5075, Arkansas,Lawrence ,"17,047","16,735"
5077, Arkansas,Lee ,"10,162","9,310"
5079, Arkansas,Lincoln ,"14,139","13,705"
5081, Arkansas,Little River ,"12,920","12,451"
5083, Arkansas,Logan ,"22,018","21,792"
5085, Arkansas,Lonoke ,"70,101","72,228"
5087, Arkansas,Madison ,"15,619","16,072"
5089, Arkansas,Marion ,"16,616","16,325"
5091, Arkansas,Miller ,"43,649","43,787"
5093, Arkansas,Mississippi ,"45,531","42,835"
5095, Arkansas,Monroe ,"7,843","7,169"
5097, Arkansas,Montgomery ,"9,320","8,879"
5099, Arkansas,Nevada ,"8,911","8,398"
5101, Arkansas,Newton ,"8,087","7,936"
5103, Arkansas,Ouachita ,"25,405","24,098"
5105, Arkansas,Perry ,"10,336","10,132"
5107, Arkansas,Phillips ,"20,762","18,975"
5109, Arkansas,Pike ,"11,270","10,832"
5111, Arkansas,Poinsett ,"24,293","24,023"
5113, Arkansas,Polk ,"20,440","20,173"
5115, Arkansas,Pope ,"62,631","63,779"
5117, Arkansas,Prairie ,"8,460","8,251"
5119, Arkansas,Pulaski ,"388,905","393,250"
5121, Arkansas,Randolph ,"17,854","17,448"
5123, Arkansas,St. Francis ,"27,907","26,196"
5125, Arkansas,Saline ,"111,758","118,703"
5127, Arkansas,Scott ,"10,986","10,277"
5129, Arkansas,Searcy ,"7,988","7,967"
5131, Arkansas,Sebastian ,"127,418","127,793"
5133, Arkansas,Sevier ,"17,153","16,910"
5135, Arkansas,Sharp ,"17,061","17,157"
5137, Arkansas,Stone ,"12,610","12,539"
5139, Arkansas,Union ,"40,864","39,887"
5141, Arkansas,Van Buren ,"17,167","16,628"
5143, Arkansas,Washington ,"211,497","228,049"
5145, Arkansas,White ,"78,670","79,263"
5147, Arkansas,Woodruff ,"7,068","6,641"
5149, Arkansas,Yell ,"21,804","21,552"
6001, California,Alameda ,"1,555,542","1,647,704"
6003, California,Alpine ,"1,123","1,071"
6005, California,Amador ,"37,089","37,383"
6007, California,Butte ,"221,180","226,864"
6009, California,Calaveras ,"44,760","45,171"
