,State,County,"Population Estimate, 2012","Population Estimate, 2016",PercChangeInPop2012-2016
0, Alabama,Autauga ,55027,55416,0.71
1, Alabama,Baldwin ,190403,208563,9.54
2, Alabama,Barbour ,27132,25965,-4.3
3, Alabama,Bibb ,22645,22643,-0.01
4, Alabama,Blount ,57772,57704,-0.12
5, Alabama,Bullock ,10654,10362,-2.74
6, Alabama,Butler ,20665,19998,-3.23
7, Alabama,Calhoun ,117208,114611,-2.22
8, Alabama,Chambers ,34084,33843,-0.71
9, Alabama,Cherokee ,26017,25725,-1.12
10, Alabama,Chilton ,43693,43941,0.57
11, Alabama,Choctaw ,13549,12993,-4.1
12, Alabama,Clarke ,25148,24392,-3.01
13, Alabama,Clay ,13461,13492,0.23
14, Alabama,Cleburne ,14928,14924,-0.03
15, Alabama,Coffee ,51180,51226,0.09
16, Alabama,Colbert ,54493,54216,-0.51
17, Alabama,Conecuh ,13007,12395,-4.71
18, Alabama,Coosa ,11201,10581,-5.54
19, Alabama,Covington ,37842,37458,-1.01
20, Alabama,Crenshaw ,13920,13913,-0.05
21, Alabama,Cullman ,80351,82471,2.64
22, Alabama,Dale ,50296,49226,-2.13
23, Alabama,Dallas ,42748,40008,-6.41
24, Alabama,DeKalb ,70961,70900,-0.09
25, Alabama,Elmore ,80291,81799,1.88
26, Alabama,Escambia ,38063,37728,-0.88
27, Alabama,Etowah ,104215,102564,-1.58
28, Alabama,Fayette ,16966,16546,-2.48
29, Alabama,Franklin ,31652,31628,-0.08
30, Alabama,Geneva ,27012,26614,-1.47
31, Alabama,Greene ,8837,8422,-4.7
32, Alabama,Hale ,15393,14952,-2.86
33, Alabama,Henry ,17237,17164,-0.42
34, Alabama,Houston ,103382,104056,0.65
35, Alabama,Jackson ,53087,52138,-1.79
36, Alabama,Jefferson ,657639,659521,0.29
37, Alabama,Lamar ,14257,13918,-2.38
38, Alabama,Lauderdale ,92694,92318,-0.41
39, Alabama,Lawrence ,33788,33244,-1.61
40, Alabama,Lee ,148289,158991,7.22
41, Alabama,Limestone ,87368,92753,6.16
42, Alabama,Lowndes ,10835,10358,-4.4
43, Alabama,Macon ,20632,18963,-8.09
44, Alabama,Madison ,342773,356967,4.14
45, Alabama,Marengo ,20451,19673,-3.8
46, Alabama,Marion ,30520,29998,-1.71
47, Alabama,Marshall ,94182,95157,1.04
48, Alabama,Mobile ,413760,414836,0.26
49, Alabama,Monroe ,22593,21530,-4.7
50, Alabama,Montgomery ,228708,226349,-1.03
51, Alabama,Morgan ,120123,119012,-0.92
52, Alabama,Perry ,10184,9574,-5.99
53, Alabama,Pickens ,19359,20324,4.98
54, Alabama,Pike ,33113,33286,0.52
55, Alabama,Randolph ,22623,22652,0.13
56, Alabama,Russell ,57626,58172,0.95
57, Alabama,St. Clair ,85168,88019,3.35
58, Alabama,Shelby ,200789,210622,4.9
59, Alabama,Sumter ,13448,13040,-3.03
60, Alabama,Talladega ,81941,80103,-2.24
61, Alabama,Tallapoosa ,41144,40727,-1.01
62, Alabama,Tuscaloosa ,198581,206102,3.79
63, Alabama,Walker ,66211,64967,-1.88
64, Alabama,Washington ,17115,16756,-2.1
65, Alabama,Wilcox ,11355,10986,-3.25
66, Alabama,Winston ,24171,23805,-1.51
67, Alaska,Aleutians East ,3285,3296,0.33
68, Alaska,Aleutians West ,5688,5647,-0.72
69, Alaska,Anchorage Municipality,298527,298192,-0.11
70, Alaska,Bethel ,17695,17968,1.54
71, Alaska,Bristol Bay ,983,898,-8.65
72, Alaska,Denali Borough,1913,1953,2.09
73, Alaska,Dillingham ,4963,4954,-0.18
74, Alaska,Fairbanks North Star Borough,100330,100605,0.27
