,FIPS,State,County,PCH_REDEMP_SNAPS_12_16,PCH_SNAP_12_16
0,1001,AL,Autauga,-20.7038565,-1.848239474
1,1003,AL,Baldwin,-43.20425952,-1.848239474
2,1005,AL,Barbour,-13.45029105,-1.848239474
3,1007,AL,Bibb,-28.17191574,-1.848239474
4,1009,AL,Blount,-38.49088637,-1.848239474
5,1011,AL,Bullock,-0.410017804,-1.848239474
6,1013,AL,Butler,-11.6841534,-1.848239474
7,1015,AL,Calhoun,-17.01977308,-1.848239474
8,1017,AL,Chambers,-17.48884376,-1.848239474
9,1019,AL,Cherokee,-26.243745500000003,-1.848239474
10,1021,AL,Chilton,-33.53185415,-1.848239474
11,1023,AL,Choctaw,1.003894737,-1.848239474
12,1025,AL,Clarke,-14.76973616,-1.848239474
13,1027,AL,Clay,-35.37252359,-1.848239474
14,1029,AL,Cleburne,-0.233077952,-1.848239474
15,1031,AL,Coffee,-12.91358698,-1.848239474
16,1033,AL,Colbert,-41.34751758,-1.848239474
17,1035,AL,Conecuh,16.61321872,-1.848239474
18,1037,AL,Coosa,-20.13266518,-1.848239474
19,1039,AL,Covington,-23.68250846,-1.848239474
20,1041,AL,Crenshaw,-5.1291507439999995,-1.848239474
21,1043,AL,Cullman,-23.51523066,-1.848239474
22,1045,AL,Dale,-37.16227427,-1.848239474
23,1047,AL,Dallas,1.642463574,-1.848239474
24,1049,AL,DeKalb,-9.511560862,-1.848239474
25,1051,AL,Elmore,-29.68511001,-1.848239474
26,1053,AL,Escambia,-18.32671702,-1.848239474
27,1055,AL,Etowah,-32.82348938,-1.848239474
28,1057,AL,Fayette,-3.304390568,-1.848239474
29,1059,AL,Franklin,-25.37415454,-1.848239474
30,1061,AL,Geneva,-36.78298224,-1.848239474
31,1063,AL,Greene,-29.55479074,-1.848239474
32,1065,AL,Hale,-16.30464174,-1.848239474
33,1067,AL,Henry,3.4578834639999996,-1.848239474
34,1069,AL,Houston,-19.29862531,-1.848239474
35,1071,AL,Jackson,-21.9369361,-1.848239474
36,1073,AL,Jefferson,-19.37971521,-1.848239474
37,1075,AL,Lamar,-26.68564215,-1.848239474
38,1077,AL,Lauderdale,-28.08444235,-1.848239474
39,1079,AL,Lawrence,-14.66325505,-1.848239474
40,1081,AL,Lee,-26.53747636,-1.848239474
41,1083,AL,Limestone,-33.51424832,-1.848239474
42,1085,AL,Lowndes,-15.07242975,-1.848239474
43,1087,AL,Macon,-40.73554878,-1.848239474
44,1089,AL,Madison,-21.20961899,-1.848239474
45,1091,AL,Marengo,-4.921525141,-1.848239474
46,1093,AL,Marion,-22.30026205,-1.848239474
47,1095,AL,Marshall,-23.84705314,-1.848239474
48,1097,AL,Mobile,-20.7999992,-1.848239474
49,1099,AL,Monroe,-17.54832549,-1.848239474
50,1101,AL,Montgomery,-19.46707709,-1.848239474
51,1103,AL,Morgan,-32.03456169,-1.848239474
52,1105,AL,Perry,10.03619912,-1.848239474
53,1107,AL,Pickens,-23.11534424,-1.848239474
54,1109,AL,Pike,-12.26320669,-1.848239474
55,1111,AL,Randolph,-38.21344809,-1.848239474
56,1113,AL,Russell,-32.53141827,-1.848239474
57,1115,AL,St. Clair,-32.34385914,-1.848239474
58,1117,AL,Shelby,-26.78797228,-1.848239474
59,1119,AL,Sumter,-30.88218587,-1.848239474
60,1121,AL,Talladega,-27.88577927,-1.848239474
61,1123,AL,Tallapoosa,-39.05543097,-1.848239474
62,1125,AL,Tuscaloosa,-19.84405391,-1.848239474
63,1127,AL,Walker,-26.65117498,-1.848239474
64,1129,AL,Washington,1.106074893,-1.848239474
65,1131,AL,Wilcox,-7.580348145,-1.848239474
66,1133,AL,Winston,-17.54281978,-1.848239474
67,2013,AK,Aleutians East,-23.72643306,-1.418704159
68,2016,AK,Aleutians West,-1.379935942,-1.418704159
69,2020,AK,Anchorage,-12.64015235,-1.418704159
70,2050,AK,Bethel,24.14830307,-1.418704159
71,2060,AK,Bristol Bay,,-1.418704159
72,2068,AK,Denali,,-1.418704159
73,2070,AK,Dillingham,1.7875028640000001,-1.418704159
74,2090,AK,Fairbanks North Star,-21.16804384,-1.418704159
75,2100,AK,Haines,,-1.418704159
76,2105,AK,Hoonah-Angoon,5.564634278,-1.418704159
77,2110,AK,Juneau,-2.606079871,-1.418704159
78,2122,AK,Kenai Peninsula,-17.94073264,-1.418704159
79,2130,AK,Ketchikan Gateway,-9.6940701,-1.418704159
80,2150,AK,Kodiak Island,-16.30144711,-1.418704159
81,2164,AK,Lake and Peninsula,26.72853275,-1.418704159
82,2170,AK,Matanuska-Susitna,-25.93515161,-1.418704159
83,2180,AK,Nome,16.45150769,-1.418704159
84,2185,AK,North Slope,-13.65703438,-1.418704159
85,2188,AK,Northwest Arctic,-6.958729523,-1.418704159
86,2195,AK,Petersburg,,-1.418704159
87,2198,AK,Prince of Wales-Hyder,3.844545666,-1.418704159
88,2220,AK,Sitka,,-1.418704159
89,2230,AK,Skagway,,-1.418704159
90,2240,AK,Southeast Fairbanks,-9.128508507000001,-1.418704159
91,2261,AK,Valdez-Cordova,-13.52543215,-1.418704159
92,2270,AK,Wade Hampton,17.494915300000002,-1.418704159
93,2275,AK,Wrangell,,-1.418704159
94,2282,AK,Yakutat,,-1.418704159
95,2290,AK,Yukon-Koyukuk,-8.443203225,-1.418704159
96,4001,AZ,Apache,0.107518935,-3.428615063
97,4003,AZ,Cochise,0.230078528,-3.428615063
98,4005,AZ,Coconino,-33.16842603,-3.428615063
99,4007,AZ,Gila,-9.202487159,-3.428615063
100,4009,AZ,Graham,-18.27368331,-3.428615063
101,4011,AZ,Greenlee,-11.22536395,-3.428615063
102,4012,AZ,La Paz,-18.55830747,-3.428615063
103,4013,AZ,Maricopa,-21.78758987,-3.428615063
104,4015,AZ,Mohave,-34.26258055,-3.428615063
105,4017,AZ,Navajo,-18.51517989,-3.428615063
106,4019,AZ,Pima,-23.54234056,-3.428615063
107,4021,AZ,Pinal,-20.10827026,-3.428615063
108,4023,AZ,Santa Cruz,-14.42024751,-3.428615063
109,4025,AZ,Yavapai,-35.66095056,-3.428615063
110,4027,AZ,Yuma,-11.65282456,-3.428615063
111,5001,AR,Arkansas,-32.73032401,-3.204842952
112,5003,AR,Ashley,-7.343296249,-3.204842952
113,5005,AR,Baxter,-38.78182114,-3.204842952
114,5007,AR,Benton,-36.43416043,-3.204842952
115,5009,AR,Boone,-35.46115016,-3.204842952
