,FIPS,State,County,FastFoodRestaurant,Change(%)FastfoodRestaurant,FullServiceRestaurants,Change(%)FSerRestaurants,PCH_REDEMP_SNAPS_12_16,PCH_SNAP_12_16,Adult Diabetes Rate(%),Adult Obesity(%),No. of Recreation and Fitness Facilities,FMRKT16,FMRKT_SNAP16,"SNAP-authorized stores (% change), 2012-16","SNAP-authorized stores/1,000 pop (% change), 2012-16",Population>65 Yrs(%),Poulation<18(%),Median House Hold Income,Poverty Rate(%),Persistent Poverty Counties,Child Poverty Rate(%),Population Loss Counties,LowAccesstoStores,LowAccess&LowIncomeToStores
0,1001,AL,Autauga,36,20.0,29,-14.70588235,-20.7038565,-1.848239474,13.0,34.1,5,1,0.0,12.69,12.89,11.99538216,26.77795899,56580.0,12.7,0,18.8,0.0,17496.693040000002,6543.676824
1,1003,AL,Baldwin,132,17.85714286,221,9.405940594,-43.20425952,-1.848239474,10.4,27.4,25,4,0.0,43.19,30.99,16.77118481,22.98740844,52387.0,12.9,0,19.6,0.0,30561.264430000007,9886.831137
2,1005,AL,Barbour,22,4.761904762,15,25.0,-13.45029105,-1.848239474,18.4,44.4,0,4,2.0,0.96,5.76,14.23680664,21.90698183,31433.0,32.0,1,45.2,0.0,6069.523628,2948.790251000001
3,1007,AL,Bibb,5,-28.57142857,5,-16.66666667,-28.17191574,-1.848239474,14.8,40.3,1,1,0.0,20.51,20.27,12.68164957,22.69692341,40767.0,22.2,0,29.3,0.0,969.378841,596.1628287999998
4,1009,AL,Blount,21,-12.5,15,-21.05263158,-38.49088637,-1.848239474,14.1,34.6,3,1,0.0,23.9,24.17,14.72209623,24.60835281,50487.0,14.7,0,22.2,0.0,3724.428242,1650.959482
5,1011,AL,Bullock,3,-25.0,1,-50.0,-0.410017804,-1.848239474,19.6,43.0,0,1,0.0,-22.67,-21.84,13.45977643,22.26498076,28251.0,39.6,1,51.2,0.0,4141.900365,2154.7893
6,1013,AL,Butler,17,0.0,10,-47.36842105,-11.6841534,-1.848239474,17.7,36.3,1,2,0.0,-5.2,-3.73,16.6563231,24.13710794,33868.0,25.8,1,36.0,1.0,1304.328756,612.9347607999998
7,1015,AL,Calhoun,103,8.421052632,77,14.92537313,-17.01977308,-1.848239474,14.9,32.2,7,2,1.0,-1.69,0.61,14.32884661,22.87723915,42091.0,20.0,0,30.7,0.0,27785.98677,10883.20997
8,1017,AL,Chambers,26,18.18181818,16,-15.78947368,-17.48884376,-1.848239474,16.4,39.7,0,1,0.0,9.49,10.2,16.6768961,22.51351746,35560.0,22.4,0,34.4,1.0,7131.505717,3533.916216
9,1019,AL,Cherokee,15,-6.25,11,10.0,-26.243745500000006,-1.848239474,13.3,33.6,1,1,0.0,4.3,5.5,17.89603294,21.41675324,39144.0,19.4,0,30.2,0.0,103.5224989,57.46490172
10,1021,AL,Chilton,20,-13.04347826,18,5.8823529410000015,-33.53185415,-1.848239474,13.3,35.9,2,0,,15.15,14.83,13.56689503,25.11284742,42767.0,20.2,0,28.1,0.0,1469.89911,637.4195275000002
11,1023,AL,Choctaw,6,50.0,5,-28.57142857,1.003894737,-1.848239474,18.1,40.8,0,1,0.0,-6.12,-1.5,18.17591457,22.66397287,35089.0,24.4,1,33.5,1.0,2702.895199,1010.379176
12,1025,AL,Clarke,26,13.04347826,15,15.38461539,-14.76973616,-1.848239474,16.3,38.2,3,2,1.0,2.07,5.29,16.15762784,24.73193202,37317.0,22.2,1,30.9,0.0,5712.926332,2881.596829
13,1027,AL,Clay,4,0.0,6,-14.28571429,-35.37252359,-1.848239474,14.6,37.3,0,2,0.0,30.33,29.78,17.57823715,22.566752800000003,38908.0,18.4,0,27.3,0.0,642.7409199,324.1809049
14,1029,AL,Cleburne,8,14.28571429,2,-50.0,-0.233077952,-1.848239474,12.6,30.0,1,1,0.0,-31.5,-31.92,15.76943628,23.7176062,42136.0,18.9,0,27.7,0.0,789.5351429,310.177285
15,1031,AL,Coffee,34,-2.857142857,28,-9.677419355,-12.91358698,-1.848239474,15.9,33.7,4,1,0.0,20.44,20.51,14.43501241,24.19316089,46858.0,16.2,0,23.7,0.0,10486.08598,2987.491344
16,1033,AL,Colbert,52,26.82926829,38,-5.0,-41.34751758,-1.848239474,18.7,37.5,6,3,1.0,35.87,36.45,17.38627177,22.10994341,41171.0,18.1,0,26.9,0.0,11095.6663,3565.961744
17,1035,AL,Conecuh,7,40.0,4,0.0,16.61321872,-1.848239474,17.4,36.4,0,1,0.0,-31.14,-27.88,17.856062899999994,22.99667372,29981.0,28.3,1,41.0,0.0,3558.35944,1750.034804
18,1037,AL,Coosa,1,,0,0.0,-20.13266518,-1.848239474,17.3,39.7,0,0,,-20.0,-17.09,17.07253661,20.53904151,36078.0,20.3,0,32.2,0.0,2828.930334,1168.301536
19,1039,AL,Covington,24,-4.0,18,-25.0,-23.68250846,-1.848239474,14.7,34.0,3,2,0.0,12.14,13.62,18.37415596,22.56851582,36355.0,22.3,0,34.1,0.0,3769.122248,1650.453898
20,1041,AL,Crenshaw,5,66.66666667,6,-33.33333333,-5.129150744,-1.848239474,16.5,39.7,0,1,0.0,-9.05,-7.94,15.89242054,23.78829282,36759.0,19.9,0,29.6,0.0,5278.966487,2369.451736
21,1043,AL,Cullman,53,6.0,48,9.090909091,-23.51523066,-1.848239474,14.4,33.4,3,1,1.0,5.38,2.78,15.93164689,23.18359326,39290.0,19.4,0,24.7,0.0,5900.2702020000015,2500.3100010000007
