,FIPS,State,County,Adult Diabetes Rate(%),Adult Obesity(%),No. of Recreation and Fitness Facilities
0,1001,AL,Autauga,13.0,34.1,5
1,1003,AL,Baldwin,10.4,27.4,25
2,1005,AL,Barbour,18.4,44.4,0
3,1007,AL,Bibb,14.8,40.3,1
4,1009,AL,Blount,14.1,34.6,3
5,1011,AL,Bullock,19.6,43.0,0
6,1013,AL,Butler,17.7,36.3,1
7,1015,AL,Calhoun,14.9,32.2,7
8,1017,AL,Chambers,16.4,39.7,0
9,1019,AL,Cherokee,13.3,33.6,1
10,1021,AL,Chilton,13.3,35.9,2
11,1023,AL,Choctaw,18.1,40.8,0
12,1025,AL,Clarke,16.3,38.2,3
13,1027,AL,Clay,14.6,37.3,0
14,1029,AL,Cleburne,12.6,30.0,1
15,1031,AL,Coffee,15.9,33.7,4
16,1033,AL,Colbert,18.7,37.5,6
17,1035,AL,Conecuh,17.4,36.4,0
18,1037,AL,Coosa,17.3,39.7,0
19,1039,AL,Covington,14.7,34.0,3
20,1041,AL,Crenshaw,16.5,39.7,0
21,1043,AL,Cullman,14.4,33.4,3
22,1045,AL,Dale,14.1,36.5,2
23,1047,AL,Dallas,19.0,40.8,2
24,1049,AL,DeKalb,13.4,30.4,3
25,1051,AL,Elmore,13.4,35.4,4
26,1053,AL,Escambia,17.8,37.7,2
27,1055,AL,Etowah,16.8,35.1,9
28,1057,AL,Fayette,15.1,33.7,0
29,1059,AL,Franklin,13.9,33.2,3
30,1061,AL,Geneva,13.9,34.1,0
31,1063,AL,Greene,21.0,46.3,0
32,1065,AL,Hale,16.0,40.4,1
33,1067,AL,Henry,18.7,35.8,0
34,1069,AL,Houston,13.7,32.8,7
35,1071,AL,Jackson,14.9,32.0,0
36,1073,AL,Jefferson,13.0,33.2,70
37,1075,AL,Lamar,14.9,33.6,0
38,1077,AL,Lauderdale,14.2,32.9,9
39,1079,AL,Lawrence,15.6,35.5,2
40,1081,AL,Lee,9.5,29.0,8
41,1083,AL,Limestone,12.6,32.9,6
42,1085,AL,Lowndes,23.5,45.1,1
43,1087,AL,Macon,18.4,44.7,0
44,1089,AL,Madison,11.5,32.3,49
45,1091,AL,Marengo,20.2,40.3,1
46,1093,AL,Marion,18.7,35.5,2
47,1095,AL,Marshall,12.8,33.2,4
48,1097,AL,Mobile,15.6,37.1,30
49,1099,AL,Monroe,17.8,35.3,1
50,1101,AL,Montgomery,13.5,34.8,19
51,1103,AL,Morgan,12.6,31.6,9
52,1105,AL,Perry,21.7,43.0,0
53,1107,AL,Pickens,16.4,36.4,1
54,1109,AL,Pike,13.5,38.4,2
55,1111,AL,Randolph,14.9,30.9,0
56,1113,AL,Russell,12.9,36.4,3
57,1115,AL,St. Clair,12.8,33.0,2
58,1117,AL,Shelby,8.7,30.1,27
59,1119,AL,Sumter,20.1,40.3,1
60,1121,AL,Talladega,15.3,39.0,0
61,1123,AL,Tallapoosa,13.7,36.9,1
62,1125,AL,Tuscaloosa,12.3,34.3,17
63,1127,AL,Walker,16.7,33.2,4
64,1129,AL,Washington,17.8,40.2,0
65,1131,AL,Wilcox,19.3,44.9,0
66,1133,AL,Winston,13.2,30.2,1
67,2013,AK,Aleutians East,7.6,33.4,0
68,2016,AK,Aleutians West,6.2,39.4,0
69,2020,AK,Anchorage,7.0,27.0,41
70,2050,AK,Bethel,5.8,30.3,0
71,2060,AK,Bristol Bay,8.5,39.7,0
72,2068,AK,Denali,5.8,27.0,0
73,2070,AK,Dillingham,7.2,38.0,0
74,2090,AK,Fairbanks North Star,5.5,28.1,11
75,2100,AK,Haines,7.9,25.5,0
76,2105,AK,Hoonah-Angoon,7.3,31.8,0
77,2110,AK,Juneau,5.9,28.6,9
78,2122,AK,Kenai Peninsula,7.2,28.4,10
79,2130,AK,Ketchikan Gateway,8.9,30.8,3
80,2150,AK,Kodiak Island,6.6,30.2,0
81,2164,AK,Lake and Peninsula,7.4,31.9,0
82,2170,AK,Matanuska-Susitna,8.2,30.2,6
83,2180,AK,Nome,6.0,31.7,0
84,2185,AK,North Slope,6.5,36.5,1
85,2188,AK,Northwest Arctic,6.5,32.4,0
86,2195,AK,Petersburg,7.1,30.5,0
87,2198,AK,Prince of Wales-Hyder,7.3,35.2,0
88,2220,AK,Sitka,6.7,28.7,1
89,2230,AK,Skagway,6.4,28.1,0
90,2240,AK,Southeast Fairbanks,6.9,33.1,0
91,2261,AK,Valdez-Cordova,7.4,30.4,2
92,2270,AK,Wade Hampton,4.6,32.6,0
93,2275,AK,Wrangell,8.9,30.6,0
94,2282,AK,Yakutat,7.9,31.3,0
95,2290,AK,Yukon-Koyukuk,8.3,28.3,0
96,4001,AZ,Apache,14.4,35.2,0
97,4003,AZ,Cochise,10.3,26.0,8
98,4005,AZ,Coconino,7.6,23.2,9
99,4007,AZ,Gila,11.2,27.5,1
100,4009,AZ,Graham,10.3,32.5,1
101,4011,AZ,Greenlee,10.7,34.7,0
102,4012,AZ,La Paz,14.8,32.0,0
103,4013,AZ,Maricopa,9.0,25.4,321
104,4015,AZ,Mohave,12.8,29.6,14
105,4017,AZ,Navajo,13.1,30.9,2
106,4019,AZ,Pima,8.8,24.2,117
107,4021,AZ,Pinal,12.3,31.6,9
108,4023,AZ,Santa Cruz,8.0,23.0,2
109,4025,AZ,Yavapai,10.5,25.3,25
110,4027,AZ,Yuma,12.6,30.5,8
111,5001,AR,Arkansas,12.9,33.8,1
112,5003,AR,Ashley,14.5,42.1,0
113,5005,AR,Baxter,16.0,32.3,4
114,5007,AR,Benton,9.6,30.1,25
115,5009,AR,Boone,12.4,33.9,2
116,5011,AR,Bradley,13.1,39.0,1
117,5013,AR,Calhoun,13.7,34.2,0
118,5015,AR,Carroll,13.0,35.8,1
119,5017,AR,Chicot,15.2,43.1,0
120,5019,AR,Clark,11.6,34.3,2
121,5021,AR,Clay,11.1,33.7,1
122,5023,AR,Cleburne,13.5,31.8,1
123,5025,AR,Cleveland,13.0,35.7,0
124,5027,AR,Columbia,12.9,36.4,2
125,5029,AR,Conway,13.7,39.7,1
126,5031,AR,Craighead,13.1,36.4,8
127,5033,AR,Crawford,11.4,35.1,5
128,5035,AR,Crittenden,15.8,38.8,2
