,FIPS,State,County,FastFoodRestaurant,Change(%)FastfoodRestaurant,FullServiceRestaurants,Change(%)FSerRestaurants
0,1001,AL,Autauga,36,20.0,29,-14.70588235
1,1003,AL,Baldwin,132,17.85714286,221,9.405940594
2,1005,AL,Barbour,22,4.7619047619999995,15,25.0
3,1007,AL,Bibb,5,-28.57142857,5,-16.66666667
4,1009,AL,Blount,21,-12.5,15,-21.05263158
5,1011,AL,Bullock,3,-25.0,1,-50.0
6,1013,AL,Butler,17,0.0,10,-47.36842105
7,1015,AL,Calhoun,103,8.421052632,77,14.92537313
8,1017,AL,Chambers,26,18.18181818,16,-15.78947368
9,1019,AL,Cherokee,15,-6.25,11,10.0
10,1021,AL,Chilton,20,-13.04347826,18,5.882352941000001
11,1023,AL,Choctaw,6,50.0,5,-28.57142857
12,1025,AL,Clarke,26,13.04347826,15,15.38461539
13,1027,AL,Clay,4,0.0,6,-14.28571429
14,1029,AL,Cleburne,8,14.28571429,2,-50.0
15,1031,AL,Coffee,34,-2.857142857,28,-9.677419355
16,1033,AL,Colbert,52,26.82926829,38,-5.0
17,1035,AL,Conecuh,7,40.0,4,0.0
18,1037,AL,Coosa,1,,0,0.0
19,1039,AL,Covington,24,-4.0,18,-25.0
20,1041,AL,Crenshaw,5,66.66666667,6,-33.33333333
21,1043,AL,Cullman,53,6.0,48,9.090909091
22,1045,AL,Dale,34,3.03030303,30,-3.225806452
23,1047,AL,Dallas,19,-5.0,15,-6.25
24,1049,AL,DeKalb,43,4.87804878,31,-11.42857143
25,1051,AL,Elmore,45,55.17241379,38,11.76470588
26,1053,AL,Escambia,27,22.72727273,20,0.0
27,1055,AL,Etowah,79,-3.658536585,57,5.555555556
28,1057,AL,Fayette,9,-25.0,9,80.0
29,1059,AL,Franklin,18,-18.18181818,16,-5.882352941000001
30,1061,AL,Geneva,10,0.0,11,37.5
31,1063,AL,Greene,1,0.0,2,-33.33333333
32,1065,AL,Hale,7,40.0,4,-20.0
33,1067,AL,Henry,10,0.0,11,22.22222222
34,1069,AL,Houston,97,16.86746988,77,2.666666667
35,1071,AL,Jackson,29,-3.333333333,25,-13.79310345
36,1073,AL,Jefferson,642,11.07266436,376,2.173913043
37,1075,AL,Lamar,6,-14.28571429,10,0.0
38,1077,AL,Lauderdale,72,18.03278689,70,14.75409836
39,1079,AL,Lawrence,16,-36.0,17,13.33333333
40,1081,AL,Lee,128,18.51851852,109,15.95744681
41,1083,AL,Limestone,51,13.33333333,39,11.42857143
42,1085,AL,Lowndes,0,-100.0,2,
43,1087,AL,Macon,9,-10.0,2,-60.0
44,1089,AL,Madison,330,10.0,226,1.801801802
45,1091,AL,Marengo,19,18.75,9,-25.0
46,1093,AL,Marion,17,-34.61538462,20,0.0
47,1095,AL,Marshall,71,1.428571429,60,-14.28571429
48,1097,AL,Mobile,253,0.0,217,2.358490566
49,1099,AL,Monroe,9,-10.0,10,25.0
50,1101,AL,Montgomery,210,24.26035503,141,1.438848921
51,1103,AL,Morgan,99,-1.0,67,17.54385965
52,1105,AL,Perry,1,-50.0,6,20.0
53,1107,AL,Pickens,8,33.33333333,6,0.0
54,1109,AL,Pike,33,10.0,22,10.0
55,1111,AL,Randolph,9,-18.18181818,7,-58.82352941
56,1113,AL,Russell,44,0.0,21,-16.0
57,1115,AL,St. Clair,49,2.083333333,44,-8.333333332999999
58,1117,AL,Shelby,141,10.15625,132,-0.7518796990000001
59,1119,AL,Sumter,7,0.0,6,20.0
60,1121,AL,Talladega,49,0.0,37,-17.77777778
61,1123,AL,Tallapoosa,20,-16.66666667,17,-22.72727273
62,1125,AL,Tuscaloosa,161,1.898734177,110,5.769230769
63,1127,AL,Walker,41,-8.888888889,34,-12.82051282
64,1129,AL,Washington,3,-25.0,6,0.0
65,1131,AL,Wilcox,5,-16.66666667,5,-16.66666667
66,1133,AL,Winston,10,-16.66666667,15,-21.05263158
67,2013,AK,Aleutians East,1,0.0,1,
68,2016,AK,Aleutians West,0,-100.0,2,-33.33333333
69,2020,AK,Anchorage,204,-1.4492753619999998,231,11.05769231
70,2050,AK,Bethel,7,40.0,7,75.0
71,2060,AK,Bristol Bay,0,0.0,2,0.0
72,2068,AK,Denali,2,100.0,7,0.0
73,2070,AK,Dillingham,1,,2,-33.33333333
74,2090,AK,Fairbanks North Star,49,13.95348837,65,10.16949153
75,2100,AK,Haines,1,0.0,6,0.0
76,2105,AK,Hoonah-Angoon,2,,3,
77,2110,AK,Juneau,31,40.90909091,29,-9.375
78,2122,AK,Kenai Peninsula,39,8.333333332999999,77,11.5942029
79,2130,AK,Ketchikan Gateway,12,71.42857143,12,-7.692307692000001
80,2150,AK,Kodiak Island,7,16.66666667,11,22.22222222
81,2164,AK,Lake and Peninsula,0,0.0,0,0.0
82,2170,AK,Matanuska-Susitna,43,19.44444444,50,11.11111111
83,2180,AK,Nome,1,-75.0,10,100.0
84,2185,AK,North Slope,2,-50.0,5,0.0
85,2188,AK,Northwest Arctic,2,100.0,1,
86,2195,AK,Petersburg,4,,1,
87,2198,AK,Prince of Wales-Hyder,3,,2,
88,2220,AK,Sitka,4,0.0,8,-20.0
89,2230,AK,Skagway,2,,10,
90,2240,AK,Southeast Fairbanks,2,-66.66666667,7,-12.5
91,2261,AK,Valdez-Cordova,9,0.0,15,50.0
92,2270,AK,Wade Hampton,0,0.0,0,0.0
93,2275,AK,Wrangell,1,,1,
94,2282,AK,Yakutat,0,-100.0,0,0.0
95,2290,AK,Yukon-Koyukuk,0,0.0,1,-50.0
96,4001,AZ,Apache,16,6.666666667,18,-5.263157895
97,4003,AZ,Cochise,61,17.30769231,96,-4.0
98,4005,AZ,Coconino,120,7.142857143,162,1.25
99,4007,AZ,Gila,34,3.03030303,55,12.24489796
100,4009,AZ,Graham,16,0.0,12,-29.41176471
101,4011,AZ,Greenlee,2,-33.33333333,7,16.66666667
102,4012,AZ,La Paz,15,0.0,30,25.0
103,4013,AZ,Maricopa,2781,4.001495886,2384,8.808763122
104,4015,AZ,Mohave,114,4.587155963,129,4.87804878
105,4017,AZ,Navajo,54,-1.8181818180000002,78,1.298701299
106,4019,AZ,Pima,611,3.5593220339999996,651,7.248764415
107,4021,AZ,Pinal,115,-5.7377049179999995,109,11.2244898
108,4023,AZ,Santa Cruz,27,-12.90322581,40,-2.43902439
109,4025,AZ,Yavapai,128,-9.219858156,205,0.490196078
110,4027,AZ,Yuma,117,13.59223301,77,-7.2289156629999995
111,5001,AR,Arkansas,11,-38.88888889,12,0.0
112,5003,AR,Ashley,15,15.38461539,6,-33.33333333
113,5005,AR,Baxter,32,3.225806452,31,-29.54545455
114,5007,AR,Benton,160,16.78832117,153,15.90909091
115,5009,AR,Boone,23,-8.0,25,8.695652174
116,5011,AR,Bradley,6,50.0,6,20.0
117,5013,AR,Calhoun,2,0.0,3,50.0
118,5015,AR,Carroll,15,-21.05263158,51,2.0
119,5017,AR,Chicot,5,-16.66666667,2,-75.0
120,5019,AR,Clark,19,-5.0,11,0.0
121,5021,AR,Clay,9,-18.18181818,8,-11.11111111
122,5023,AR,Cleburne,16,-5.882352941000001,24,0.0
123,5025,AR,Cleveland,1,-50.0,1,
124,5027,AR,Columbia,22,46.66666667,8,-11.11111111
125,5029,AR,Conway,7,-22.22222222,12,-7.692307692000001
126,5031,AR,Craighead,76,-3.797468354,70,7.692307692000001
127,5033,AR,Crawford,28,0.0,30,-16.66666667
128,5035,AR,Crittenden,34,-2.857142857,20,5.263157895
129,5037,AR,Cross,12,33.33333333,7,-41.66666667
130,5039,AR,Dallas,3,-25.0,6,50.0
131,5041,AR,Desha,9,-10.0,11,-31.25
132,5043,AR,Drew,15,0.0,13,18.18181818
133,5045,AR,Faulkner,79,27.41935484,70,-1.408450704
134,5047,AR,Franklin,6,0.0,13,30.0
135,5049,AR,Fulton,4,-42.85714286,4,-33.33333333
136,5051,AR,Garland,85,13.33333333,100,2.040816327
137,5053,AR,Grant,6,-33.33333333,9,12.5
138,5055,AR,Greene,28,3.7037037039999996,22,-8.333333332999999
139,5057,AR,Hempstead,11,-8.333333332999999,13,18.18181818
140,5059,AR,Hot Spring,14,-17.64705882,9,12.5
141,5061,AR,Howard,9,12.5,8,60.0
142,5063,AR,Independence,21,-4.545454545,27,22.72727273
143,5065,AR,Izard,3,0.0,7,16.66666667
144,5067,AR,Jackson,9,80.0,8,-20.0
