,FIPS,State,County,"SNAP-authorized stores (% change), 2012-16","SNAP-authorized stores/1,000 pop (% change), 2012-16"
0,1001,AL,Autauga,12.69,12.89
1,1003,AL,Baldwin,43.19,30.99
2,1005,AL,Barbour,0.96,5.76
3,1007,AL,Bibb,20.51,20.27
4,1009,AL,Blount,23.9,24.17
5,1011,AL,Bullock,-22.67,-21.84
6,1013,AL,Butler,-5.2,-3.73
7,1015,AL,Calhoun,-1.69,0.61
8,1017,AL,Chambers,9.49,10.2
9,1019,AL,Cherokee,4.3,5.5
10,1021,AL,Chilton,15.15,14.83
11,1023,AL,Choctaw,-6.12,-1.5
12,1025,AL,Clarke,2.07,5.29
13,1027,AL,Clay,30.33,29.78
14,1029,AL,Cleburne,-31.5,-31.92
15,1031,AL,Coffee,20.44,20.51
16,1033,AL,Colbert,35.87,36.45
17,1035,AL,Conecuh,-31.14,-27.88
18,1037,AL,Coosa,-20.0,-17.09
19,1039,AL,Covington,12.14,13.62
20,1041,AL,Crenshaw,-9.05,-7.94
21,1043,AL,Cullman,5.38,2.78
22,1045,AL,Dale,42.6,46.13
23,1047,AL,Dallas,-13.49,-7.32
24,1049,AL,DeKalb,-2.19,-1.94
25,1051,AL,Elmore,13.81,12.19
26,1053,AL,Escambia,6.31,7.06
27,1055,AL,Etowah,16.42,18.49
28,1057,AL,Fayette,-6.58,-4.11
29,1059,AL,Franklin,5.69,6.14
30,1061,AL,Geneva,37.77,39.41
31,1063,AL,Greene,12.09,18.13
32,1065,AL,Hale,-3.31,-0.5
33,1067,AL,Henry,-14.69,-14.08
34,1069,AL,Houston,14.53,13.81
35,1071,AL,Jackson,-4.24,-2.62
36,1073,AL,Jefferson,7.81,7.89
37,1075,AL,Lamar,12.84,15.6
38,1077,AL,Lauderdale,14.15,14.43
39,1079,AL,Lawrence,-1.84,-0.09
40,1081,AL,Lee,17.88,9.18
41,1083,AL,Limestone,20.94,14.29
42,1085,AL,Lowndes,-1.0,3.77
43,1087,AL,Macon,31.41,42.3
44,1089,AL,Madison,25.3,20.43
45,1091,AL,Marengo,-5.21,-1.7
46,1093,AL,Marion,15.69,16.96
47,1095,AL,Marshall,20.93,20.45
48,1097,AL,Mobile,10.56,10.32
49,1099,AL,Monroe,1.63,6.69
50,1101,AL,Montgomery,17.56,19.53
51,1103,AL,Morgan,28.9,30.4
52,1105,AL,Perry,-36.0,-31.94
53,1107,AL,Pickens,4.53,-0.2
54,1109,AL,Pike,-1.87,-2.17
55,1111,AL,Randolph,35.78,35.92
56,1113,AL,Russell,20.82,20.09
57,1115,AL,St. Clair,12.03,8.48
58,1117,AL,Shelby,26.46,20.65
59,1119,AL,Sumter,23.15,26.81
60,1121,AL,Talladega,6.72,8.93
61,1123,AL,Tallapoosa,30.99,32.41
62,1125,AL,Tuscaloosa,14.24,10.08
63,1127,AL,Walker,20.16,22.48
64,1129,AL,Washington,-9.62,-7.71
65,1131,AL,Wilcox,-9.09,-5.41
66,1133,AL,Winston,2.95,4.26
67,2013,AK,Aleutians East,0.0,-4.1
68,2016,AK,Aleutians West,-26.15,-27.46
69,2020,AK,Anchorage,5.23,5.38
70,2050,AK,Bethel,-11.01,-12.11
71,2060,AK,Bristol Bay,-50.0,-44.82
72,2068,AK,Denali,,
73,2070,AK,Dillingham,-9.26,-7.79
74,2090,AK,Fairbanks North Star,9.36,9.0
75,2100,AK,Haines,0.0,2.24
76,2105,AK,Hoonah-Angoon,-14.29,-12.18
77,2110,AK,Juneau,-10.76,-10.52
78,2122,AK,Kenai Peninsula,9.8,6.79
79,2130,AK,Ketchikan Gateway,0.0,0.24
80,2150,AK,Kodiak Island,-10.74,-7.45
81,2164,AK,Lake and Peninsula,36.0,44.01
82,2170,AK,Matanuska-Susitna,19.82,7.83
83,2180,AK,Nome,-9.91,-9.93
84,2185,AK,North Slope,-5.77,-5.41
85,2188,AK,Northwest Arctic,11.84,13.84
86,2195,AK,Petersburg,33.33,62.76
87,2198,AK,Prince of Wales-Hyder,-10.64,-19.03
88,2220,AK,Sitka,0.0,2.45
89,2230,AK,Skagway,0.0,-11.86
90,2240,AK,Southeast Fairbanks,-14.29,-10.94
91,2261,AK,Valdez-Cordova,-3.57,0.16
92,2270,AK,Wade Hampton,-10.34,
93,2275,AK,Wrangell,-20.0,-20.27
94,2282,AK,Yakutat,0.0,11.15
95,2290,AK,Yukon-Koyukuk,-13.02,-9.17
96,4001,AZ,Apache,-15.41,-15.31
97,4003,AZ,Cochise,-9.21,-4.65
98,4005,AZ,Coconino,24.84,20.5
99,4007,AZ,Gila,-5.32,-6.05
100,4009,AZ,Graham,2.97,2.47
101,4011,AZ,Greenlee,3.48,-5.25
102,4012,AZ,La Paz,5.67,5.48
103,4013,AZ,Maricopa,2.4,-4.86
104,4015,AZ,Mohave,18.15,17.05
105,4017,AZ,Navajo,3.18,0.43
106,4019,AZ,Pima,8.62,6.08
107,4021,AZ,Pinal,5.47,-2.39
108,4023,AZ,Santa Cruz,9.46,12.6
109,4025,AZ,Yavapai,7.59,1.43
110,4027,AZ,Yuma,5.0,2.14
111,5001,AR,Arkansas,13.49,17.71
112,5003,AR,Ashley,-12.31,-7.89
113,5005,AR,Baxter,28.11,28.06
114,5007,AR,Benton,6.36,-4.36
115,5009,AR,Boone,14.35,14.42
116,5011,AR,Bradley,2.56,6.3
117,5013,AR,Calhoun,-14.29,-11.57
118,5015,AR,Carroll,-0.7,-0.83
119,5017,AR,Chicot,3.91,8.54
120,5019,AR,Clark,25.32,26.86
121,5021,AR,Clay,-15.79,-11.48
122,5023,AR,Cleburne,10.9,13.29
123,5025,AR,Cleveland,31.51,37.67
124,5027,AR,Columbia,7.82,10.4
125,5029,AR,Conway,19.57,21.57
126,5031,AR,Craighead,14.08,7.5
127,5033,AR,Crawford,8.13,7.57
128,5035,AR,Crittenden,7.42,9.13
129,5037,AR,Cross,13.81,18.12
130,5039,AR,Dallas,11.11,18.82
131,5041,AR,Desha,-1.81,3.72
132,5043,AR,Drew,27.37,28.0
133,5045,AR,Faulkner,21.75,18.24
134,5047,AR,Franklin,37.91,41.19
135,5049,AR,Fulton,18.75,20.66
136,5051,AR,Garland,24.34,23.61
137,5053,AR,Grant,12.61,12.01
138,5055,AR,Greene,33.14,28.86
139,5057,AR,Hempstead,11.73,13.76
140,5059,AR,Hot Spring,-0.88,-0.82
141,5061,AR,Howard,58.96,63.21
142,5063,AR,Independence,-8.38,-8.73
143,5065,AR,Izard,-7.94,-7.66
144,5067,AR,Jackson,2.4,4.65
145,5069,AR,Jefferson,-0.29,6.41
146,5071,AR,Johnson,19.3,18.04
147,5073,AR,Lafayette,-28.26,-21.97
148,5075,AR,Lawrence,-20.15,-18.83
149,5077,AR,Lee,13.87,24.95
150,5079,AR,Lincoln,35.29,39.2
151,5081,AR,Little River,6.94,10.96
152,5083,AR,Logan,15.66,16.68
153,5085,AR,Lonoke,21.86,17.83
154,5087,AR,Madison,28.74,25.32
155,5089,AR,Marion,-1.48,-0.02
156,5091,AR,Miller,24.48,24.05
157,5093,AR,Mississippi,-2.45,3.76
158,5095,AR,Monroe,-13.64,-5.7
159,5097,AR,Montgomery,15.66,21.67
160,5099,AR,Nevada,1.05,7.39
161,5101,AR,Newton,-6.93,-5.17
162,5103,AR,Ouachita,26.92,33.76
163,5105,AR,Perry,-16.88,-15.19
164,5107,AR,Phillips,-4.58,4.52
165,5109,AR,Pike,12.71,17.03
166,5111,AR,Poinsett,5.33,6.57
167,5113,AR,Polk,5.88,7.45
168,5115,AR,Pope,17.96,16.08
169,5117,AR,Prairie,-2.02,0.44
170,5119,AR,Pulaski,23.13,21.79
171,5121,AR,Randolph,11.81,14.89
172,5123,AR,St. Francis,-0.23,6.1
173,5125,AR,Saline,29.78,22.28
174,5127,AR,Scott,-1.91,5.09
175,5129,AR,Searcy,-25.52,-25.14
176,5131,AR,Sebastian,8.09,7.68
177,5133,AR,Sevier,10.17,11.91
178,5135,AR,Sharp,-5.29,-5.86
179,5137,AR,Stone,1.8,2.81
180,5139,AR,Union,-8.98,-6.74
181,5141,AR,Van Buren,48.39,51.97
182,5143,AR,Washington,18.83,10.16
183,5145,AR,White,26.45,25.23
184,5147,AR,Woodruff,19.79,28.07
185,5149,AR,Yell,21.5,23.64
186,6001,CA,Alameda,2.09,-3.67
187,6003,CA,Alpine,,
188,6005,CA,Amador,15.54,14.46
189,6007,CA,Butte,6.23,3.73
190,6009,CA,Calaveras,22.64,21.48
191,6011,CA,Colusa,11.51,10.59
192,6013,CA,Contra Costa,6.42,1.21
193,6015,CA,Del Norte,-5.18,-2.6
194,6017,CA,El Dorado,18.74,15.5
195,6019,CA,Fresno,3.28,-0.09
196,6021,CA,Glenn,36.93,36.48
197,6023,CA,Humboldt,9.49,8.03
198,6025,CA,Imperial,12.7,10.25
199,6027,CA,Inyo,-2.66,-0.78
200,6029,CA,Kern,7.13,3.66
201,6031,CA,Kings,3.63,4.72
202,6033,CA,Lake,16.9,16.66
203,6035,CA,Lassen,1.05,10.18
204,6037,CA,Los Angeles,-0.79,-2.5
205,6039,CA,Madera,0.24,-1.36
206,6041,CA,Marin,9.94,8.01
207,6043,CA,Mariposa,-22.35,-20.15
208,6045,CA,Mendocino,1.66,1.43
209,6047,CA,Merced,4.75,2.27
210,6049,CA,Modoc,17.59,24.71
211,6051,CA,Mono,34.38,37.9
212,6053,CA,Monterey,2.66,0.66
213,6055,CA,Napa,3.07,0.81
214,6057,CA,Nevada,4.85,3.98
215,6059,CA,Orange,17.5,14.45
216,6061,CA,Placer,22.57,16.5
217,6063,CA,Plumas,9.81,14.36
218,6065,CA,Riverside,16.6,10.79
219,6067,CA,Sacramento,7.45,2.88
220,6069,CA,San Benito,22.81,17.58
