,State,County,State_abb,"Population Estimate, 2012","Population Estimate, 2016",%change_Pop_2012_2016,Percent_Change_Groc_Stor_12_16,"SNAP-authorized stores (% change), 2012-16","SNAP-authorized stores/1,000 pop (% change), 2012-16","Fast-food restaurants (% change), 2012-16",percentage_Change_FSerResta_2012 -2016,Fast Food Restaurant,Full Service Restaurant,WIC-authorized stores,SNAPS Autorized Stores,Grocery Stores,Super Centres,Convenient Stores,Specialized Food Stores,SNAPAuthStores(%),SNAP redemptions_SNAP-authorized stores(Dollars per Store),SNAP participants (% pop),Farmer Market(Count),Farmers' _markets_acceptin_g SNAP,Adult Diabetes Rate(%),Adult Obesity(%),No. of Recreation and Fitness Facilities,Population>65 Yrs(%),Poulation<18(%),Median House Hold Income,Poverty Rate(%),Persistent Poverty Counties,Child Poverty Rate(%),Population Loss Counties,PCH_REDEMP_SNAPS_12_16,PCH_SNAP_12_16
0, Alabama,Autauga ,AL,55027,55416,0.7,-33.33,12.69,12.89,20.0,-14.70588235,36,29,5,42.17,4,1,30,2,50.1009861,239024.02,16.98,1,0.0,13.0,34.1,5,12.0,26.78,56580.0,12.7,0,18.8,0.0,-20.7038565,-1.848239474
1, Alabama,Baldwin ,AL,190403,208563,8.71,20.83,43.19,30.99,17.85714286,9.405940594,132,221,27,198.08,29,6,118,26,,155844.39,16.98,4,0.0,10.4,27.4,25,16.77,22.99,52387.0,12.9,0,19.6,0.0,-43.20425952,-1.848239474
2, Alabama,Barbour ,AL,27132,25965,-4.49,0.0,0.96,5.76,4.7619047619999995,25.0,22,15,7,35.17,5,1,19,2,,281716.33,16.98,4,2.0,18.4,44.4,0,14.24,21.91,31433.0,32.0,1,45.2,0.0,-13.45029105,-1.848239474
3, Alabama,Bibb ,AL,22645,22643,-0.01,-16.67,20.51,20.27,-28.57142857,-16.66666667,5,5,5,19.58,5,1,15,1,,256026.92,16.98,1,0.0,14.8,40.3,1,12.68,22.7,40767.0,22.2,0,29.3,0.0,-28.17191574,-1.848239474
4, Alabama,Blount ,AL,57772,57704,-0.12,0.0,23.9,24.17,-12.5,-21.05263158,21,15,6,47.08,6,1,27,0,,141304.9,16.98,1,0.0,14.1,34.6,3,14.72,24.61,50487.0,14.7,0,22.2,0.0,-38.49088637,-1.848239474
5, Alabama,Bullock ,AL,10654,10362,-2.82,0.0,-22.67,-21.84,-25.0,-50.0,3,1,2,11.08,2,0,3,0,,210721.36,16.98,1,0.0,19.6,43.0,0,13.46,22.26,28251.0,39.6,1,51.2,0.0,-0.410017804,-1.848239474
6, Alabama,Butler ,AL,20665,19998,-3.34,0.0,-5.2,-3.73,0.0,-47.36842105,17,10,4,25.83,3,1,21,0,,305223.87,16.98,2,0.0,17.7,36.3,1,16.66,24.14,33868.0,25.8,1,36.0,1.0,-11.6841534,-1.848239474
7, Alabama,Calhoun ,AL,117208,114611,-2.27,8.0,-1.69,0.61,8.421052632,14.92537313,103,77,19,135.58,27,3,74,1,,261900.12,16.98,2,1.0,14.9,32.2,7,14.33,22.88,42091.0,20.0,0,30.7,0.0,-17.01977308,-1.848239474
8, Alabama,Chambers ,AL,34084,33843,-0.71,0.0,9.49,10.2,18.18181818,-15.78947368,26,16,6,37.5,7,1,23,2,,270583.61,16.98,1,0.0,16.4,39.7,0,16.68,22.51,35560.0,22.4,0,34.4,1.0,-17.48884376,-1.848239474
9, Alabama,Cherokee ,AL,26017,25725,-1.14,25.0,4.3,5.5,-6.25,10.0,15,11,6,32.33,5,1,18,1,,178751.88,16.98,1,0.0,13.3,33.6,1,17.9,21.42,39144.0,19.4,0,30.2,0.0,-26.243745500000003,-1.848239474
10, Alabama,Chilton ,AL,43693,43941,0.56,-14.29,15.15,14.83,-13.04347826,5.882352941000001,20,18,7,53.83,6,1,34,3,,164782.24,16.98,0,0.0,13.3,35.9,2,13.57,25.11,42767.0,20.2,0,28.1,0.0,-33.53185415,-1.848239474
11, Alabama,Choctaw ,AL,13549,12993,-4.28,-25.0,-6.12,-1.5,50.0,-28.57142857,6,5,3,15.33,3,0,12,0,,201085.89,16.98,1,0.0,18.1,40.8,0,18.18,22.66,35089.0,24.4,1,33.5,1.0,1.003894737,-1.848239474
12, Alabama,Clarke ,AL,25148,24392,-3.1,-16.67,2.07,5.29,13.04347826,15.38461539,26,15,8,41.0,5,2,13,2,,344827.5,16.98,2,1.0,16.3,38.2,3,16.16,24.73,37317.0,22.2,1,30.9,0.0,-14.76973616,-1.848239474
13, Alabama,Clay ,AL,13461,13492,0.23,0.0,30.33,29.78,0.0,-14.28571429,4,6,3,13.25,3,0,7,1,,117259.88,16.98,2,0.0,14.6,37.3,0,17.58,22.57,38908.0,18.4,0,27.3,0.0,-35.37252359,-1.848239474
14, Alabama,Cleburne ,AL,14928,14924,-0.03,-33.33,-31.5,-31.92,14.28571429,-50.0,8,2,5,11.42,2,0,10,0,,157603.33,16.98,1,0.0,12.6,30.0,1,15.77,23.72,42136.0,18.9,0,27.7,0.0,-0.233077952,-1.848239474
15, Alabama,Coffee ,AL,51180,51226,0.09,-28.57,20.44,20.51,-2.857142857,-9.677419355,34,28,8,45.17,5,1,27,1,,266669.28,16.98,1,0.0,15.9,33.7,4,14.44,24.19,46858.0,16.2,0,23.7,0.0,-12.91358698,-1.848239474
16, Alabama,Colbert ,AL,54493,54216,-0.51,11.11,35.87,36.45,26.82926829,-5.0,52,38,8,75.75,10,1,43,3,,154331.85,16.98,3,1.0,18.7,37.5,6,17.39,22.11,41171.0,18.1,0,26.9,0.0,-41.34751758,-1.848239474
17, Alabama,Conecuh ,AL,13007,12395,-4.94,-33.33,-31.14,-27.88,40.0,0.0,7,4,1,15.67,2,0,14,0,,160813.66,16.98,1,0.0,17.4,36.4,0,17.86,23.0,29981.0,28.3,1,41.0,0.0,16.61321872,-1.848239474
18, Alabama,Coosa ,AL,11201,10581,-5.86,0.0,-20.0,-17.09,0.0,0.0,1,0,1,4.0,1,0,8,0,,174849.84,16.98,0,0.0,17.3,39.7,0,17.07,20.54,36078.0,20.3,0,32.2,0.0,-20.13266518,-1.848239474
19, Alabama,Covington ,AL,37842,37458,-1.03,-40.0,12.14,13.62,-4.0,-25.0,24,18,9,54.67,6,1,35,2,,232920.34,16.98,2,0.0,14.7,34.0,3,18.37,22.57,36355.0,22.3,0,34.1,0.0,-23.68250846,-1.848239474
20, Alabama,Crenshaw ,AL,13920,13913,-0.05,-25.0,-9.05,-7.94,66.66666667,-33.33333333,5,6,5,18.42,3,0,7,0,,159004.89,16.98,1,0.0,16.5,39.7,0,15.89,23.79,36759.0,19.9,0,29.6,0.0,-5.1291507439999995,-1.848239474
21, Alabama,Cullman ,AL,80351,82471,2.57,50.0,5.38,2.78,6.0,9.090909091,53,48,11,81.67,15,1,49,4,,171700.81,16.98,1,1.0,14.4,33.4,3,15.93,23.18,39290.0,19.4,0,24.7,0.0,-23.51523066,-1.848239474
22, Alabama,Dale ,AL,50296,49226,-2.17,14.29,42.6,46.13,3.03030303,-3.225806452,34,30,8,52.17,8,1,32,0,,213683.62,16.98,2,0.0,14.1,36.5,2,13.45,24.83,45294.0,18.5,0,29.0,0.0,-37.16227427,-1.848239474
23, Alabama,Dallas ,AL,42748,40008,-6.85,-11.11,-13.49,-7.32,-5.0,-6.25,19,15,10,48.08,8,1,31,0,,513411.19,16.98,1,1.0,19.0,40.8,2,14.07,26.46,29682.0,34.6,1,50.1,1.0,1.642463574,-1.848239474
24, Alabama,DeKalb ,AL,70961,70900,-0.09,16.67,-2.19,-1.94,4.87804878,-11.42857143,43,31,11,82.0,14,1,50,3,,205211.91,16.98,2,0.0,13.4,30.4,3,13.89,25.83,37305.0,20.6,0,28.9,0.0,-9.511560862,-1.848239474
25, Alabama,Elmore ,AL,80291,81799,1.84,0.0,13.81,12.19,55.17241379,11.76470588,45,38,10,74.83,10,2,56,0,,246114.45,16.98,2,0.0,13.4,35.4,4,11.9,23.59,53548.0,14.0,0,19.9,0.0,-29.68511001,-1.848239474
26, Alabama,Escambia ,AL,38063,37728,-0.89,-50.0,6.31,7.06,22.72727273,0.0,27,20,6,44.92,4,1,29,0,,261083.09,16.98,3,0.0,17.8,37.7,2,15.17,22.65,36840.0,24.4,1,32.0,0.0,-18.32671702,-1.848239474
27, Alabama,Etowah ,AL,104215,102564,-1.61,-31.58,16.42,18.49,-3.658536585,5.555555556,79,57,17,117.58,13,2,68,5,,182275.73,16.98,3,0.0,16.8,35.1,9,15.81,22.97,42145.0,19.0,0,30.7,0.0,-32.82348938,-1.848239474
28, Alabama,Fayette ,AL,16966,16546,-2.54,0.0,-6.58,-4.11,-25.0,80.0,9,9,5,11.83,5,1,8,0,,392463.5,16.98,1,0.0,15.1,33.7,0,17.89,22.26,37085.0,20.4,0,29.4,0.0,-3.304390568,-1.848239474
29, Alabama,Franklin ,AL,31652,31628,-0.08,33.33,5.69,6.14,-18.18181818,-5.882352941000001,18,16,7,32.5,8,1,16,1,,260103.02,16.98,2,1.0,13.9,33.2,3,15.22,24.81,38535.0,21.1,0,32.4,0.0,-25.37415454,-1.848239474
30, Alabama,Geneva ,AL,27012,26614,-1.5,-9.09,37.77,39.41,0.0,37.5,10,11,7,31.92,10,0,14,1,,220298.64,16.98,0,0.0,13.9,34.1,0,17.45,22.36,36289.0,22.4,0,34.8,0.0,-36.78298224,-1.848239474
31, Alabama,Greene ,AL,8837,8422,-4.93,-60.0,12.09,18.13,0.0,-33.33333333,1,2,2,17.0,2,0,12,0,,105611.96,16.98,2,0.0,21.0,46.3,0,16.08,24.26,25398.0,37.7,1,54.7,1.0,-29.55479074,-1.848239474
32, Alabama,Hale ,AL,15393,14952,-2.95,-25.0,-3.31,-0.5,40.0,-20.0,7,4,3,14.58,3,0,15,0,,247637.09,16.98,1,0.0,16.0,40.4,1,15.04,24.84,35470.0,28.5,1,38.6,0.0,-16.30464174,-1.848239474
33, Alabama,Henry ,AL,17237,17164,-0.43,-25.0,-14.69,-14.08,0.0,22.22222222,10,11,3,15.0,3,0,15,1,,140676.93,16.98,2,0.0,18.7,35.8,0,17.59,22.64,42501.0,17.0,0,27.5,0.0,3.4578834639999996,-1.848239474
34, Alabama,Houston ,AL,103382,104056,0.65,14.29,14.53,13.81,16.86746988,2.666666667,97,77,21,138.58,16,3,67,6,,266446.71,16.98,3,0.0,13.7,32.8,7,14.45,24.55,43568.0,18.3,0,29.5,0.0,-19.29862531,-1.848239474
35, Alabama,Jackson ,AL,53087,52138,-1.82,-26.67,-4.24,-2.62,-3.333333333,-13.79310345,29,25,11,52.75,11,1,47,0,,172164.3,16.98,1,0.0,14.9,32.0,0,16.48,22.52,40201.0,18.4,0,26.9,0.0,-21.9369361,-1.848239474
36, Alabama,Jefferson ,AL,657639,659521,0.29,0.0,7.81,7.89,11.07266436,2.173913043,642,376,94,594.67,108,19,459,35,,294128.45,16.98,17,4.0,13.0,33.2,70,13.13,23.47,48415.0,18.0,0,26.2,0.0,-19.37971521,-1.848239474
37, Alabama,Lamar ,AL,14257,13918,-2.44,-25.0,12.84,15.6,-14.28571429,0.0,6,10,4,13.92,3,0,9,0,,177098.63,16.98,1,0.0,14.9,33.6,0,18.76,22.16,36520.0,24.7,0,33.8,0.0,-26.68564215,-1.848239474
38, Alabama,Lauderdale ,AL,92694,92318,-0.41,13.33,14.15,14.43,18.03278689,14.75409836,72,70,16,92.08,17,2,50,2,,197129.67,16.98,1,0.0,14.2,32.9,9,16.78,21.55,43008.0,17.3,0,23.9,0.0,-28.08444235,-1.848239474
39, Alabama,Lawrence ,AL,33788,33244,-1.64,-28.57,-1.84,-0.09,-36.0,13.33333333,16,17,6,26.67,5,1,19,1,,228470.09,16.98,1,1.0,15.6,35.5,2,14.56,23.19,41771.0,18.7,0,26.4,0.0,-14.66325505,-1.848239474
40, Alabama,Lee ,AL,148289,158991,6.73,30.77,17.88,9.18,18.51851852,15.95744681,128,109,15,103.83,17,3,76,3,,249131.59,16.98,4,1.0,9.5,29.0,8,9.07,22.53,46442.0,21.0,0,20.7,0.0,-26.53747636,-1.848239474
41, Alabama,Limestone ,AL,87368,92753,5.81,-25.0,20.94,14.29,13.33333333,11.42857143,51,39,9,75.08,9,1,56,2,,175281.12,16.98,1,0.0,12.6,32.9,6,12.31,23.99,55060.0,14.3,0,18.8,0.0,-33.51424832,-1.848239474
42, Alabama,Lowndes ,AL,10835,10358,-4.61,50.0,-1.0,3.77,-100.0,0.0,0,2,2,16.5,3,0,6,0,,107953.75,16.98,1,0.0,23.5,45.1,1,14.65,24.18,31117.0,35.2,1,46.7,0.0,-15.07242975,-1.848239474
