,FIPS,State,County,FMRKT16,FMRKT_SNAP16,FMRKT_FRVEG16,FMRKT_ANMLPROD16,FMRKT_BAKED16,FMRKT_OTHERFOOD16
0,1001,AL,Autauga,1,0.0,1.0,0.0,1.0,1.0
1,1003,AL,Baldwin,4,0.0,3.0,4.0,3.0,3.0
2,1005,AL,Barbour,4,2.0,2.0,0.0,2.0,2.0
3,1007,AL,Bibb,1,0.0,0.0,0.0,0.0,0.0
4,1009,AL,Blount,1,0.0,1.0,1.0,1.0,1.0
5,1011,AL,Bullock,1,0.0,0.0,0.0,0.0,0.0
6,1013,AL,Butler,2,0.0,1.0,0.0,0.0,0.0
7,1015,AL,Calhoun,2,1.0,2.0,2.0,2.0,2.0
8,1017,AL,Chambers,1,0.0,1.0,0.0,1.0,1.0
9,1019,AL,Cherokee,1,0.0,1.0,0.0,0.0,1.0
10,1021,AL,Chilton,0,,,,,
11,1023,AL,Choctaw,1,0.0,0.0,0.0,0.0,0.0
12,1025,AL,Clarke,2,1.0,2.0,1.0,1.0,1.0
13,1027,AL,Clay,2,0.0,0.0,0.0,0.0,0.0
14,1029,AL,Cleburne,1,0.0,1.0,1.0,1.0,1.0
15,1031,AL,Coffee,1,0.0,1.0,1.0,1.0,1.0
16,1033,AL,Colbert,3,1.0,1.0,1.0,1.0,1.0
17,1035,AL,Conecuh,1,0.0,1.0,1.0,1.0,1.0
18,1037,AL,Coosa,0,,,,,
19,1039,AL,Covington,2,0.0,0.0,0.0,0.0,0.0
20,1041,AL,Crenshaw,1,0.0,0.0,0.0,0.0,0.0
21,1043,AL,Cullman,1,1.0,1.0,1.0,1.0,1.0
22,1045,AL,Dale,2,0.0,1.0,1.0,0.0,1.0
23,1047,AL,Dallas,1,1.0,1.0,1.0,1.0,1.0
24,1049,AL,DeKalb,2,0.0,0.0,0.0,0.0,0.0
25,1051,AL,Elmore,2,0.0,1.0,0.0,1.0,1.0
26,1053,AL,Escambia,3,0.0,0.0,0.0,0.0,0.0
27,1055,AL,Etowah,3,0.0,2.0,1.0,1.0,1.0
28,1057,AL,Fayette,1,0.0,0.0,0.0,0.0,0.0
29,1059,AL,Franklin,2,1.0,1.0,1.0,1.0,1.0
30,1061,AL,Geneva,0,,,,,
31,1063,AL,Greene,2,0.0,0.0,0.0,0.0,0.0
32,1065,AL,Hale,1,0.0,1.0,0.0,1.0,1.0
33,1067,AL,Henry,2,0.0,0.0,0.0,0.0,0.0
34,1069,AL,Houston,3,0.0,3.0,1.0,2.0,3.0
35,1071,AL,Jackson,1,0.0,0.0,0.0,0.0,0.0
36,1073,AL,Jefferson,17,4.0,10.0,6.0,9.0,9.0
37,1075,AL,Lamar,1,0.0,0.0,0.0,0.0,0.0
38,1077,AL,Lauderdale,1,0.0,0.0,0.0,0.0,0.0
39,1079,AL,Lawrence,1,1.0,1.0,1.0,1.0,1.0
40,1081,AL,Lee,4,1.0,2.0,1.0,1.0,2.0
41,1083,AL,Limestone,1,0.0,1.0,1.0,1.0,1.0
42,1085,AL,Lowndes,1,0.0,0.0,0.0,0.0,0.0
43,1087,AL,Macon,1,0.0,1.0,1.0,0.0,1.0
44,1089,AL,Madison,7,3.0,5.0,5.0,5.0,5.0
45,1091,AL,Marengo,3,0.0,0.0,0.0,0.0,0.0
46,1093,AL,Marion,2,0.0,1.0,0.0,1.0,1.0
47,1095,AL,Marshall,3,0.0,2.0,2.0,2.0,2.0
48,1097,AL,Mobile,5,0.0,1.0,0.0,0.0,0.0
49,1099,AL,Monroe,2,0.0,0.0,0.0,0.0,0.0
50,1101,AL,Montgomery,3,0.0,1.0,1.0,1.0,1.0
51,1103,AL,Morgan,3,1.0,2.0,2.0,2.0,2.0
52,1105,AL,Perry,1,0.0,1.0,0.0,0.0,0.0
53,1107,AL,Pickens,2,0.0,2.0,0.0,1.0,2.0
54,1109,AL,Pike,1,0.0,1.0,0.0,0.0,0.0
55,1111,AL,Randolph,2,1.0,2.0,2.0,2.0,2.0
56,1113,AL,Russell,1,0.0,0.0,0.0,0.0,0.0
57,1115,AL,St. Clair,1,0.0,1.0,0.0,0.0,0.0
58,1117,AL,Shelby,8,1.0,5.0,4.0,5.0,5.0
59,1119,AL,Sumter,1,0.0,0.0,0.0,0.0,0.0
60,1121,AL,Talladega,1,1.0,1.0,0.0,1.0,1.0
61,1123,AL,Tallapoosa,1,0.0,1.0,1.0,1.0,1.0
62,1125,AL,Tuscaloosa,3,2.0,3.0,3.0,3.0,3.0
63,1127,AL,Walker,1,0.0,1.0,1.0,1.0,1.0
64,1129,AL,Washington,1,0.0,0.0,0.0,0.0,0.0
65,1131,AL,Wilcox,3,0.0,0.0,0.0,0.0,0.0
66,1133,AL,Winston,1,1.0,1.0,0.0,0.0,1.0
67,2013,AK,Aleutians East,0,,,,,
68,2016,AK,Aleutians West,1,0.0,0.0,0.0,0.0,0.0
69,2020,AK,Anchorage,10,5.0,8.0,7.0,7.0,7.0
70,2050,AK,Bethel,0,,,,,
71,2060,AK,Bristol Bay,0,,,,,
72,2068,AK,Denali,0,,,,,
73,2070,AK,Dillingham,1,0.0,0.0,0.0,0.0,0.0
74,2090,AK,Fairbanks North Star,3,2.0,3.0,2.0,2.0,2.0
75,2100,AK,Haines,1,0.0,0.0,0.0,0.0,0.0
76,2105,AK,Hoonah-Angoon,0,,,,,
77,2110,AK,Juneau,2,0.0,2.0,0.0,2.0,2.0
78,2122,AK,Kenai Peninsula,6,1.0,3.0,2.0,3.0,2.0
79,2130,AK,Ketchikan Gateway,0,,,,,
80,2150,AK,Kodiak Island,0,,,,,
81,2164,AK,Lake and Peninsula,0,,,,,
82,2170,AK,Matanuska-Susitna,8,1.0,4.0,2.0,4.0,4.0
83,2180,AK,Nome,0,,,,,
84,2185,AK,North Slope,0,,,,,
85,2188,AK,Northwest Arctic,0,,,,,
86,2195,AK,Petersburg,0,,,,,
87,2198,AK,Prince of Wales-Hyder,0,,,,,
88,2220,AK,Sitka,1,1.0,1.0,1.0,1.0,1.0
89,2230,AK,Skagway,0,,,,,
90,2240,AK,Southeast Fairbanks,1,0.0,1.0,1.0,1.0,1.0
91,2261,AK,Valdez-Cordova,3,0.0,0.0,0.0,0.0,0.0
92,2270,AK,Wade Hampton,0,,,,,
93,2275,AK,Wrangell,0,,,,,
94,2282,AK,Yakutat,0,,,,,
95,2290,AK,Yukon-Koyukuk,1,0.0,0.0,0.0,0.0,0.0
96,4001,AZ,Apache,1,0.0,0.0,0.0,0.0,0.0
97,4003,AZ,Cochise,4,3.0,4.0,4.0,4.0,4.0
98,4005,AZ,Coconino,2,2.0,2.0,1.0,2.0,2.0
99,4007,AZ,Gila,2,1.0,2.0,2.0,2.0,2.0
100,4009,AZ,Graham,1,0.0,1.0,1.0,1.0,0.0
101,4011,AZ,Greenlee,0,,,,,
102,4012,AZ,La Paz,0,,,,,
103,4013,AZ,Maricopa,39,17.0,28.0,25.0,24.0,25.0
104,4015,AZ,Mohave,1,1.0,1.0,1.0,1.0,1.0
105,4017,AZ,Navajo,3,0.0,1.0,1.0,1.0,1.0
106,4019,AZ,Pima,27,12.0,19.0,19.0,16.0,19.0
107,4021,AZ,Pinal,1,0.0,0.0,0.0,0.0,0.0
108,4023,AZ,Santa Cruz,5,1.0,1.0,1.0,1.0,1.0
109,4025,AZ,Yavapai,8,3.0,6.0,5.0,6.0,6.0
110,4027,AZ,Yuma,1,0.0,0.0,0.0,0.0,0.0
111,5001,AR,Arkansas,2,0.0,0.0,0.0,0.0,0.0
112,5003,AR,Ashley,2,0.0,0.0,0.0,0.0,0.0
113,5005,AR,Baxter,3,0.0,0.0,0.0,0.0,0.0
114,5007,AR,Benton,8,5.0,6.0,6.0,6.0,6.0
115,5009,AR,Boone,3,1.0,2.0,2.0,2.0,2.0
116,5011,AR,Bradley,0,,,,,
117,5013,AR,Calhoun,0,,,,,
118,5015,AR,Carroll,3,1.0,3.0,3.0,2.0,2.0
119,5017,AR,Chicot,1,0.0,1.0,0.0,1.0,1.0
120,5019,AR,Clark,1,0.0,0.0,0.0,0.0,0.0
121,5021,AR,Clay,1,0.0,1.0,1.0,1.0,1.0
122,5023,AR,Cleburne,1,0.0,0.0,0.0,0.0,0.0
123,5025,AR,Cleveland,1,1.0,1.0,1.0,1.0,1.0
124,5027,AR,Columbia,1,0.0,0.0,0.0,0.0,0.0
125,5029,AR,Conway,1,0.0,0.0,0.0,0.0,0.0
126,5031,AR,Craighead,2,1.0,1.0,1.0,1.0,1.0
127,5033,AR,Crawford,1,0.0,1.0,1.0,1.0,1.0
128,5035,AR,Crittenden,0,,,,,
129,5037,AR,Cross,1,0.0,1.0,1.0,1.0,1.0
130,5039,AR,Dallas,0,,,,,
131,5041,AR,Desha,0,,,,,
132,5043,AR,Drew,0,,,,,
133,5045,AR,Faulkner,5,0.0,4.0,4.0,4.0,4.0
134,5047,AR,Franklin,0,,,,,
135,5049,AR,Fulton,0,,,,,
136,5051,AR,Garland,3,0.0,2.0,2.0,2.0,2.0
