,FIPS,State,County,FastFoodRestaurants,FullServiceRestaurants,Change(%)FastFoodRestaurants,change(%)FullServiceRestaurants
0,1001,AL,Autauga,36,29,20,-14.70588235
1,1003,AL,Baldwin,132,221,17.85714286,9.405940594
2,1005,AL,Barbour,22,15,4.761904762,25
3,1007,AL,Bibb,5,5,-28.57142857,-16.66666667
4,1009,AL,Blount,21,15,-12.5,-21.05263158
5,1011,AL,Bullock,3,1,-25,-50
6,1013,AL,Butler,17,10,0,-47.36842105
7,1015,AL,Calhoun,103,77,8.421052632,14.92537313
8,1017,AL,Chambers,26,16,18.18181818,-15.78947368
9,1019,AL,Cherokee,15,11,-6.25,10
10,1021,AL,Chilton,20,18,-13.04347826,5.882352941
11,1023,AL,Choctaw,6,5,50,-28.57142857
12,1025,AL,Clarke,26,15,13.04347826,15.38461539
13,1027,AL,Clay,4,6,0,-14.28571429
14,1029,AL,Cleburne,8,2,14.28571429,-50
15,1031,AL,Coffee,34,28,-2.857142857,-9.677419355
16,1033,AL,Colbert,52,38,26.82926829,-5
17,1035,AL,Conecuh,7,4,40,0
18,1037,AL,Coosa,1,0,,0
19,1039,AL,Covington,24,18,-4,-25
20,1041,AL,Crenshaw,5,6,66.66666667,-33.33333333
21,1043,AL,Cullman,53,48,6,9.090909091
22,1045,AL,Dale,34,30,3.03030303,-3.225806452
23,1047,AL,Dallas,19,15,-5,-6.25
24,1049,AL,DeKalb,43,31,4.87804878,-11.42857143
25,1051,AL,Elmore,45,38,55.17241379,11.76470588
26,1053,AL,Escambia,27,20,22.72727273,0
27,1055,AL,Etowah,79,57,-3.658536585,5.555555556
28,1057,AL,Fayette,9,9,-25,80
29,1059,AL,Franklin,18,16,-18.18181818,-5.882352941
30,1061,AL,Geneva,10,11,0,37.5
31,1063,AL,Greene,1,2,0,-33.33333333
32,1065,AL,Hale,7,4,40,-20
33,1067,AL,Henry,10,11,0,22.22222222
34,1069,AL,Houston,97,77,16.86746988,2.666666667
35,1071,AL,Jackson,29,25,-3.333333333,-13.79310345
36,1073,AL,Jefferson,642,376,11.07266436,2.173913043
37,1075,AL,Lamar,6,10,-14.28571429,0
38,1077,AL,Lauderdale,72,70,18.03278689,14.75409836
39,1079,AL,Lawrence,16,17,-36,13.33333333
40,1081,AL,Lee,128,109,18.51851852,15.95744681
41,1083,AL,Limestone,51,39,13.33333333,11.42857143
42,1085,AL,Lowndes,0,2,-100,
43,1087,AL,Macon,9,2,-10,-60
44,1089,AL,Madison,330,226,10,1.801801802
45,1091,AL,Marengo,19,9,18.75,-25
46,1093,AL,Marion,17,20,-34.61538462,0
47,1095,AL,Marshall,71,60,1.428571429,-14.28571429
48,1097,AL,Mobile,253,217,0,2.358490566
49,1099,AL,Monroe,9,10,-10,25
50,1101,AL,Montgomery,210,141,24.26035503,1.438848921
51,1103,AL,Morgan,99,67,-1,17.54385965
52,1105,AL,Perry,1,6,-50,20
53,1107,AL,Pickens,8,6,33.33333333,0
54,1109,AL,Pike,33,22,10,10
55,1111,AL,Randolph,9,7,-18.18181818,-58.82352941
56,1113,AL,Russell,44,21,0,-16
57,1115,AL,St. Clair,49,44,2.083333333,-8.333333333
58,1117,AL,Shelby,141,132,10.15625,-0.751879699
59,1119,AL,Sumter,7,6,0,20
60,1121,AL,Talladega,49,37,0,-17.77777778
61,1123,AL,Tallapoosa,20,17,-16.66666667,-22.72727273
62,1125,AL,Tuscaloosa,161,110,1.898734177,5.769230769
63,1127,AL,Walker,41,34,-8.888888889,-12.82051282
64,1129,AL,Washington,3,6,-25,0
65,1131,AL,Wilcox,5,5,-16.66666667,-16.66666667
66,1133,AL,Winston,10,15,-16.66666667,-21.05263158
67,2013,AK,Aleutians East,1,1,0,
68,2016,AK,Aleutians West,0,2,-100,-33.33333333
69,2020,AK,Anchorage,204,231,-1.449275362,11.05769231
70,2050,AK,Bethel,7,7,40,75
71,2060,AK,Bristol Bay,0,2,0,0
72,2068,AK,Denali,2,7,100,0
73,2070,AK,Dillingham,1,2,,-33.33333333
