,FIPS,State,County,Population>65 Yrs(%),Poulation<18(%),Median House Hold Income,Poverty Rate(%),Persistent Poverty Counties,Child Poverty Rate(%),Population Loss Counties
0,1001,AL,Autauga,11.99538216,26.77795899,56580.0,12.7,0,18.8,0.0
1,1003,AL,Baldwin,16.77118481,22.98740844,52387.0,12.9,0,19.6,0.0
2,1005,AL,Barbour,14.23680664,21.90698183,31433.0,32.0,1,45.2,0.0
3,1007,AL,Bibb,12.68164957,22.69692341,40767.0,22.2,0,29.3,0.0
4,1009,AL,Blount,14.72209623,24.60835281,50487.0,14.7,0,22.2,0.0
5,1011,AL,Bullock,13.45977643,22.26498076,28251.0,39.6,1,51.2,0.0
6,1013,AL,Butler,16.6563231,24.13710794,33868.0,25.8,1,36.0,1.0
7,1015,AL,Calhoun,14.32884661,22.87723915,42091.0,20.0,0,30.7,0.0
8,1017,AL,Chambers,16.6768961,22.51351746,35560.0,22.4,0,34.4,1.0
9,1019,AL,Cherokee,17.89603294,21.41675324,39144.0,19.4,0,30.2,0.0
10,1021,AL,Chilton,13.56689503,25.11284742,42767.0,20.2,0,28.1,0.0
11,1023,AL,Choctaw,18.17591457,22.66397287,35089.0,24.4,1,33.5,1.0
12,1025,AL,Clarke,16.15762784,24.73193202,37317.0,22.2,1,30.9,0.0
13,1027,AL,Clay,17.57823715,22.566752800000003,38908.0,18.4,0,27.3,0.0
14,1029,AL,Cleburne,15.76943628,23.717606200000002,42136.0,18.9,0,27.7,0.0
15,1031,AL,Coffee,14.43501241,24.19316089,46858.0,16.2,0,23.7,0.0
16,1033,AL,Colbert,17.38627177,22.10994341,41171.0,18.1,0,26.9,0.0
17,1035,AL,Conecuh,17.856062899999998,22.99667372,29981.0,28.3,1,41.0,0.0
18,1037,AL,Coosa,17.07253661,20.53904151,36078.0,20.3,0,32.2,0.0
19,1039,AL,Covington,18.37415596,22.56851582,36355.0,22.3,0,34.1,0.0
20,1041,AL,Crenshaw,15.89242054,23.78829282,36759.0,19.9,0,29.6,0.0
21,1043,AL,Cullman,15.93164689,23.18359326,39290.0,19.4,0,24.7,0.0
22,1045,AL,Dale,13.450478599999999,24.82935663,45294.0,18.5,0,29.0,0.0
23,1047,AL,Dallas,14.068918300000002,26.46052031,29682.0,34.6,1,50.1,1.0
24,1049,AL,DeKalb,13.88713102,25.82795427,37305.0,20.6,0,28.9,0.0
25,1051,AL,Elmore,11.89866714,23.58927153,53548.0,14.0,0,19.9,0.0
26,1053,AL,Escambia,15.16741042,22.64933845,36840.0,24.4,1,32.0,0.0
27,1055,AL,Etowah,15.80771809,22.96849564,42145.0,19.0,0,30.7,0.0
28,1057,AL,Fayette,17.88759353,22.25508961,37085.0,20.4,0,29.4,0.0
29,1059,AL,Franklin,15.21889982,24.81390361,38535.0,21.1,0,32.4,0.0
30,1061,AL,Geneva,17.44680851,22.36282195,36289.0,22.4,0,34.8,0.0
31,1063,AL,Greene,16.07517966,24.2564953,25398.0,37.7,1,54.7,1.0
32,1065,AL,Hale,15.03807107,24.84137056,35470.0,28.5,1,38.6,0.0
33,1067,AL,Henry,17.59334181,22.64478095,42501.0,17.0,0,27.5,0.0
34,1069,AL,Houston,14.45143628,24.54626922,43568.0,18.3,0,29.5,0.0
35,1071,AL,Jackson,16.48223646,22.51676781,40201.0,18.4,0,26.9,0.0
36,1073,AL,Jefferson,13.12793675,23.46787837,48415.0,18.0,0,26.2,0.0
37,1075,AL,Lamar,18.75858281,22.15737435,36520.0,24.7,0,33.8,0.0
38,1077,AL,Lauderdale,16.77614903,21.55346299,43008.0,17.3,0,23.9,0.0
39,1079,AL,Lawrence,14.55779143,23.19228865,41771.0,18.7,0,26.4,0.0
40,1081,AL,Lee,9.06686061,22.52525901,46442.0,21.0,0,20.7,0.0
41,1083,AL,Limestone,12.30581527,23.98951463,55060.0,14.3,0,18.8,0.0
42,1085,AL,Lowndes,14.64731392,24.179130899999997,31117.0,35.2,1,46.7,0.0
43,1087,AL,Macon,14.12921872,20.60413947,29522.0,32.2,1,46.1,1.0
44,1089,AL,Madison,12.2077829,23.74175281,59117.0,13.3,0,19.1,0.0
45,1091,AL,Marengo,16.28382556,24.687306799999998,35389.0,23.3,1,34.8,1.0
46,1093,AL,Marion,18.34221471,21.65648557,34977.0,19.8,0,30.4,0.0
47,1095,AL,Marshall,14.90233178,25.00456896,40599.0,20.1,0,32.7,0.0
48,1097,AL,Mobile,12.91090384,25.0806311,42530.0,18.4,0,26.9,0.0
49,1099,AL,Monroe,15.684064499999998,25.32079071,35163.0,28.6,1,35.7,0.0
50,1101,AL,Montgomery,11.95528485,24.48825661,42666.0,22.8,0,33.8,0.0
51,1103,AL,Morgan,14.11917315,23.95514269,47234.0,16.4,0,24.0,0.0
52,1105,AL,Perry,16.70286092,24.10537249,26218.0,40.0,1,54.4,1.0
53,1107,AL,Pickens,16.89456092,23.30092171,33160.0,24.3,1,35.3,0.0
54,1109,AL,Pike,12.79978115,20.31064774,34442.0,25.9,1,36.0,0.0
55,1111,AL,Randolph,16.96853315,23.88600358,37333.0,18.7,0,31.7,0.0
56,1113,AL,Russell,12.69193722,25.49530663,36124.0,23.0,0,36.3,0.0
57,1115,AL,St. Clair,13.05013578,23.717296899999997,53558.0,12.4,0,17.5,0.0
58,1117,AL,Shelby,10.57333983,25.61037496,70879.0,8.5,0,10.2,0.0
59,1119,AL,Sumter,14.98946451,22.29165153,25931.0,33.2,1,44.2,1.0
60,1121,AL,Talladega,14.08537993,23.43512656,37911.0,22.4,0,31.1,0.0
61,1123,AL,Tallapoosa,17.28421761,22.15253749,39051.0,21.7,0,34.5,0.0
62,1125,AL,Tuscaloosa,10.81394871,21.46658721,47868.0,20.0,0,25.1,0.0
63,1127,AL,Walker,16.25412172,22.54002357,37305.0,20.6,0,31.1,0.0
64,1129,AL,Washington,14.73181275,25.50480633,42658.0,22.4,0,31.5,0.0
65,1131,AL,Wilcox,15.01285347,26.99228792,23014.0,33.2,1,49.2,1.0
66,1133,AL,Winston,17.69727169,21.64270544,36497.0,18.9,0,29.3,0.0
67,2013,AK,Aleutians East,4.934734161000001,11.81152499,57015.0,17.4,0,15.5,0.0
68,2016,AK,Aleutians West,3.470598813,14.65563748,80695.0,8.5,0,8.5,0.0
69,2020,AK,Anchorage,7.243700013,25.96958462,77791.0,8.7,0,12.4,0.0
70,2050,AK,Bethel,6.118850291,36.54852172,44849.0,24.2,0,31.5,0.0
71,2060,AK,Bristol Bay,8.324974925,22.56770311,66373.0,9.0,0,8.6,1.0
72,2068,AK,Denali,7.502738226,22.50821468,73000.0,6.6,0,10.2,0.0
73,2070,AK,Dillingham,7.571693831,32.90695275,50753.0,20.0,0,30.4,0.0
74,2090,AK,Fairbanks North Star,6.533034095,25.62076634,70881.0,8.1,0,10.1,0.0
75,2100,AK,Haines,13.75598086,19.89633174,57876.0,10.9,0,20.2,0.0
76,2105,AK,Hoonah-Angoon,13.39534884,19.72093023,53726.0,16.2,0,29.2,1.0
77,2110,AK,Juneau,8.425259792,23.45643485,82892.0,8.0,0,10.1,0.0
78,2122,AK,Kenai Peninsula,11.32851986,23.66606498,62025.0,11.4,0,14.0,0.0
79,2130,AK,Ketchikan Gateway,10.14320695,23.94449803,65314.0,10.3,0,14.4,0.0
80,2150,AK,Kodiak Island,6.731901118,28.64920541,67515.0,7.5,0,9.3,0.0
81,2164,AK,Lake and Peninsula,7.786633967,30.16554261,42120.0,19.3,0,31.4,0.0
82,2170,AK,Matanuska-Susitna,7.943142872999999,28.89937637,76601.0,9.8,0,11.8,0.0
83,2180,AK,Nome,6.352718078,34.33417615,52952.0,21.4,0,27.6,0.0
84,2185,AK,North Slope,4.262990456,23.87062566,70834.0,12.6,0,17.6,0.0
85,2188,AK,Northwest Arctic,6.048119101,35.2917719,53774.0,26.3,0,34.9,0.0
86,2195,AK,Petersburg,11.48099607,23.35517693,63098.0,7.9,0,10.3,0.0
87,2198,AK,Prince of Wales-Hyder,10.05576543,25.61611801,45305.0,15.6,0,23.8,0.0
88,2220,AK,Sitka,11.35007319,23.53338588,68472.0,9.2,0,10.4,0.0
89,2230,AK,Skagway,9.090909091,15.70247934,65878.0,3.7,0,6.3,1.0
90,2240,AK,Southeast Fairbanks,9.446578461,26.30530659,60203.0,13.5,0,21.4,0.0
91,2261,AK,Valdez-Cordova,8.281444582999999,24.36695724,70101.0,9.5,0,12.2,0.0
92,2270,AK,Wade Hampton,5.41627564,41.57393753,,,1,,
93,2275,AK,Wrangell,15.78725201,21.95018995,54500.0,12.0,0,16.0,0.0
94,2282,AK,Yakutat,9.667673716,24.47129909,53795.0,15.4,0,26.1,0.0
95,2290,AK,Yukon-Koyukuk,10.182534,27.773801000000002,37755.0,23.4,1,34.4,1.0
96,4001,AZ,Apache,11.56072597,31.68433122,31072.0,38.0,1,44.7,0.0
97,4003,AZ,Cochise,17.27346094,23.03077368,43451.0,16.9,0,25.7,0.0
98,4005,AZ,Coconino,8.870637772,23.6480907,51955.0,19.5,0,20.7,0.0
