FIPS,State,County,GROC09,Grocery Stores,PercentChangeGrocStores12_16,GROCPTH09,Groc_Store_Per_Thousand(pop),PercentChangeGroceryStoresPTH_12_16,SUPERC09,SUPERC14,PercentChangeSuperCentre_12_16,SUPERCPTH09,SuperCentres,PercentChangeSperCentre12-16,CONVS09,ConveneinceStores ,PercentChangeConveineceStores12-16,CONVSPTH09,CONVSPTH14,PCH_CONVSPTH_09_14,SPECS09,SPECS14,0.00,SPECSPTH09,SPECSPTH14,PCH_SPECSPTH_09_14,SNAPS12,SNAPS16,"SNAP-authorized stores (% change), 2012-16",SNAPSPTH12,SNAPSPTH16,"SNAP-authorized stores/1,000 pop (% change), 2012-16",WICS08,WICS12,PCH_WICS_08_12,WICSPTH08,WICSPTH12,PCH_WICSPTH_08_12
1001,AL,Autauga,6.00,4.00,-33.33,0.11,0.07,-34.85,1.00,1.00,0.00,0.02,0.02,-2.27,29.00,30.00,3.45,0.54,0.54,1.10,2.00,2.00,0.00,0.04,0.04,-2.27,37.42,42.17,12.69,0.67,0.76,12.89,6.00,5.00,-16.67,0.12,0.09,-24.41
1003,AL,Baldwin,24.00,29.00,20.83,0.13,0.14,8.33,6.00,6.00,0.00,0.03,0.03,-10.35,119.00,118.00,-0.84,0.66,0.59,-11.10,21.00,26.00,23.81,0.12,0.13,11.00,138.33,198.08,43.19,0.73,0.95,30.99,25.00,27.00,8.00,0.14,0.14,-0.25
1005,AL,Barbour,5.00,5.00,0.00,0.18,0.19,2.86,0.00,1.00,,0.00,0.04,0.00,14.00,19.00,35.71,0.51,0.71,39.60,2.00,2.00,0.00,0.07,0.07,2.86,34.83,35.17,0.96,1.28,1.35,5.76,6.00,7.00,16.67,0.20,0.26,27.97
1007,AL,Bibb,6.00,5.00,-16.67,0.26,0.22,-15.06,1.00,1.00,0.00,0.04,0.04,1.93,19.00,15.00,-21.05,0.83,0.67,-19.53,0.00,1.00,0.00,0.00,0.04,,16.25,19.58,20.51,0.72,0.86,20.27,6.00,5.00,-16.67,0.28,0.22,-20.38
1009,AL,Blount,6.00,6.00,0.00,0.10,0.10,-0.65,1.00,1.00,0.00,0.02,0.02,-0.65,31.00,27.00,-12.90,0.54,0.47,-13.47,2.00,0.00,-100.00,0.03,0.00,-100.00,38.00,47.08,23.90,0.66,0.82,24.17,10.00,6.00,-40.00,0.17,0.10,-40.03
1011,AL,Bullock,2.00,2.00,0.00,0.18,0.19,2.07,0.00,0.00,0.00,0.00,0.00,0.00,2.00,3.00,50.00,0.18,0.28,53.11,1.00,0.00,-100.00,0.09,0.00,-100.00,14.33,11.08,-22.67,1.37,1.07,-21.84,2.00,2.00,0.00,0.18,0.19,4.27
1013,AL,Butler,3.00,3.00,0.00,0.14,0.15,2.81,1.00,1.00,0.00,0.05,0.05,2.81,24.00,21.00,-12.50,1.15,1.03,-10.04,1.00,0.00,-100.00,0.05,0.00,-100.00,27.25,25.83,-5.20,1.34,1.29,-3.73,6.00,4.00,-33.33,0.30,0.20,-33.78
1015,AL,Calhoun,25.00,27.00,8.00,0.21,0.23,10.28,3.00,3.00,0.00,0.03,0.03,2.11,88.00,74.00,-15.91,0.74,0.64,-14.13,2.00,1.00,-50.00,0.02,0.01,-48.94,137.92,135.58,-1.69,1.18,1.18,0.61,22.00,19.00,-13.64,0.19,0.16,-16.49
1017,AL,Chambers,7.00,7.00,0.00,0.20,0.21,0.90,1.00,1.00,0.00,0.03,0.03,0.90,22.00,23.00,4.55,0.64,0.67,5.49,1.00,2.00,100.00,0.03,0.06,101.81,34.25,37.50,9.49,1.01,1.11,10.20,6.00,6.00,0.00,0.17,0.18,1.20
1019,AL,Cherokee,4.00,5.00,25.00,0.15,0.19,24.12,1.00,1.00,0.00,0.04,0.04,-0.70,14.00,18.00,28.57,0.54,0.69,27.67,1.00,1.00,0.00,0.04,0.04,-0.70,31.00,32.33,4.30,1.19,1.26,5.50,5.00,6.00,20.00,0.20,0.23,12.58
1021,AL,Chilton,7.00,6.00,-14.29,0.16,0.14,-15.16,1.00,1.00,0.00,0.02,0.02,-1.02,37.00,34.00,-8.11,0.85,0.77,-9.04,4.00,3.00,-25.00,0.09,0.07,-25.76,46.75,53.83,15.15,1.07,1.23,14.83,7.00,7.00,0.00,0.16,0.16,-2.56
1023,AL,Choctaw,4.00,3.00,-25.00,0.29,0.23,-21.32,0.00,0.00,0.00,0.00,0.00,0.00,16.00,12.00,-25.00,1.14,0.90,-21.32,1.00,0.00,-100.00,0.07,0.00,-100.00,16.33,15.33,-6.12,1.20,1.18,-1.50,5.00,3.00,-40.00,0.36,0.22,-38.02
1025,AL,Clarke,6.00,5.00,-16.67,0.23,0.20,-13.02,2.00,2.00,0.00,0.08,0.08,4.38,18.00,13.00,-27.78,0.69,0.52,-24.61,2.00,2.00,0.00,0.08,0.08,4.38,40.17,41.00,2.07,1.60,1.68,5.29,14.00,8.00,-42.86,0.53,0.32,-40.35
1027,AL,Clay,3.00,3.00,0.00,0.21,0.22,3.35,0.00,0.00,0.00,0.00,0.00,0.00,8.00,7.00,-12.50,0.57,0.52,-9.57,1.00,1.00,0.00,0.07,0.07,3.35,10.17,13.25,30.33,0.76,0.98,29.78,3.00,3.00,0.00,0.22,0.22,2.77
1029,AL,Cleburne,3.00,2.00,-33.33,0.20,0.13,-34.05,0.00,0.00,0.00,0.00,0.00,0.00,11.00,10.00,-9.09,0.74,0.66,-10.07,0.00,0.00,0.00,0.00,0.00,0.00,16.67,11.42,-31.50,1.12,0.76,-31.92,5.00,5.00,0.00,0.34,0.34,-0.65
1031,AL,Coffee,7.00,5.00,-28.57,0.14,0.10,-30.63,1.00,1.00,0.00,0.02,0.02,-2.89,30.00,27.00,-10.00,0.61,0.53,-12.60,0.00,1.00,0.00,0.00,0.02,,37.50,45.17,20.44,0.73,0.88,20.51,7.00,8.00,14.29,0.15,0.16,6.53
1033,AL,Colbert,9.00,10.00,11.11,0.17,0.18,10.87,1.00,1.00,0.00,0.02,0.02,-0.21,43.00,43.00,0.00,0.79,0.79,-0.21,3.00,3.00,0.00,0.06,0.06,-0.21,55.75,75.75,35.87,1.02,1.40,36.45,11.00,8.00,-27.27,0.20,0.15,-27.03
1035,AL,Conecuh,3.00,2.00,-33.33,0.23,0.16,-30.16,0.00,0.00,0.00,0.00,0.00,0.00,16.00,14.00,-12.50,1.21,1.10,-8.33,1.00,0.00,-100.00,0.08,0.00,-100.00,22.75,15.67,-31.14,1.75,1.26,-27.88,2.00,1.00,-50.00,0.15,0.08,-49.78
1037,AL,Coosa,0.00,1.00,0.00,0.00,0.09,,0.00,0.00,0.00,0.00,0.00,0.00,9.00,8.00,-11.11,0.79,0.73,-6.83,0.00,0.00,0.00,0.00,0.00,0.00,5.00,4.00,-20.00,0.46,0.38,-17.09,2.00,1.00,-50.00,0.19,0.09,-51.10
1039,AL,Covington,10.00,6.00,-40.00,0.27,0.16,-40.42,1.00,1.00,0.00,0.03,0.03,-0.70,27.00,35.00,29.63,0.72,0.92,28.72,2.00,2.00,0.00,0.05,0.05,-0.70,48.75,54.67,12.14,1.28,1.46,13.62,10.00,9.00,-10.00,0.27,0.24,-13.10
1041,AL,Crenshaw,4.00,3.00,-25.00,0.29,0.21,-24.75,0.00,0.00,0.00,0.00,0.00,0.00,12.00,7.00,-41.67,0.86,0.50,-41.47,0.00,0.00,0.00,0.00,0.00,0.00,20.25,18.42,-9.05,1.44,1.32,-7.94,6.00,5.00,-16.67,0.44,0.36,-19.02
1043,AL,Cullman,10.00,15.00,50.00,0.12,0.18,48.27,1.00,1.00,0.00,0.01,0.01,-1.15,54.00,49.00,-9.26,0.67,0.60,-10.31,6.00,4.00,-33.33,0.07,0.05,-34.10,77.50,81.67,5.38,0.96,0.99,2.78,9.00,11.00,22.22,0.11,0.14,23.86
1045,AL,Dale,7.00,8.00,14.29,0.14,0.16,15.14,1.00,1.00,0.00,0.02,0.02,0.75,33.00,32.00,-3.03,0.66,0.65,-2.31,1.00,0.00,-100.00,0.02,0.00,-100.00,36.58,52.17,42.60,0.73,1.06,46.13,8.00,8.00,0.00,0.17,0.16,-4.05
1047,AL,Dallas,9.00,8.00,-11.11,0.21,0.19,-6.75,1.00,1.00,0.00,0.02,0.02,4.91,39.00,31.00,-20.51,0.89,0.74,-16.61,0.00,0.00,0.00,0.00,0.00,0.00,55.58,48.08,-13.49,1.30,1.20,-7.32,14.00,10.00,-28.57,0.33,0.23,-28.97
1049,AL,DeKalb,12.00,14.00,16.67,0.17,0.20,16.34,1.00,1.00,0.00,0.01,0.01,-0.28,46.00,50.00,8.70,0.65,0.70,8.39,1.00,3.00,200.00,0.01,0.04,199.15,83.83,82.00,-2.19,1.18,1.16,-1.94,12.00,11.00,-8.33,0.17,0.15,-11.15
1051,AL,Elmore,10.00,10.00,0.00,0.13,0.12,-2.90,2.00,2.00,0.00,0.03,0.02,-2.90,57.00,56.00,-1.75,0.72,0.69,-4.60,0.00,0.00,0.00,0.00,0.00,0.00,65.75,74.83,13.81,0.82,0.91,12.19,12.00,10.00,-16.67,0.15,0.12,-19.25
1053,AL,Escambia,8.00,4.00,-50.00,0.21,0.11,-49.32,0.00,1.00,,0.00,0.03,,33.00,29.00,-12.12,0.86,0.77,-10.92,2.00,0.00,-100.00,0.05,0.00,-100.00,42.25,44.92,6.31,1.11,1.19,7.06,6.00,6.00,0.00,0.16,0.16,-1.22
1055,AL,Etowah,19.00,13.00,-31.58,0.18,0.13,-31.11,2.00,2.00,0.00,0.02,0.02,0.68,63.00,68.00,7.94,0.60,0.66,8.67,1.00,5.00,400.00,0.01,0.05,403.42,101.00,117.58,16.42,0.97,1.15,18.49,18.00,17.00,-5.56,0.17,0.16,-6.42
1057,AL,Fayette,5.00,5.00,0.00,0.29,0.30,2.58,1.00,1.00,0.00,0.06,0.06,2.58,7.00,8.00,14.29,0.40,0.47,17.24,0.00,0.00,0.00,0.00,0.00,0.00,12.67,11.83,-6.58,0.75,0.72,-4.11,5.00,5.00,0.00,0.28,0.29,3.50
1059,AL,Franklin,6.00,8.00,33.33,0.19,0.25,33.28,1.00,1.00,0.00,0.03,0.03,-0.04,23.00,16.00,-30.43,0.73,0.51,-30.46,1.00,1.00,0.00,0.03,0.03,-0.04,30.75,32.50,5.69,0.97,1.03,6.14,6.00,7.00,16.67,0.19,0.22,14.06
1061,AL,Geneva,11.00,10.00,-9.09,0.41,0.37,-9.29,0.00,0.00,0.00,0.00,0.00,0.00,15.00,14.00,-6.67,0.56,0.52,-6.87,0.00,1.00,,0.00,0.04,,23.17,31.92,37.77,0.86,1.20,39.41,6.00,7.00,16.67,0.23,0.26,12.51
1063,AL,Greene,5.00,2.00,-60.00,0.54,0.23,-57.06,0.00,0.00,0.00,0.00,0.00,0.00,8.00,12.00,50.00,0.87,1.40,61.03,0.00,0.00,0.00,0.00,0.00,0.00,15.17,17.00,12.09,1.71,2.02,18.13,2.00,2.00,0.00,0.22,0.23,1.84
1065,AL,Hale,4.00,3.00,-25.00,0.25,0.20,-20.85,0.00,0.00,0.00,0.00,0.00,0.00,13.00,15.00,15.38,0.81,0.99,21.78,0.00,0.00,0.00,0.00,0.00,0.00,15.08,14.58,-3.31,0.98,0.98,-0.50,4.00,3.00,-25.00,0.22,0.19,-11.86
1067,AL,Henry,4.00,3.00,-25.00,0.23,0.17,-24.77,0.00,0.00,0.00,0.00,0.00,0.00,13.00,15.00,15.38,0.75,0.87,15.74,2.00,1.00,-50.00,0.12,0.06,-49.85,17.58,15.00,-14.69,1.02,0.87,-14.08,4.00,3.00,-25.00,0.24,0.17,-27.88
1069,AL,Houston,14.00,16.00,14.29,0.14,0.15,10.23,3.00,3.00,0.00,0.03,0.03,-3.54,63.00,67.00,6.35,0.63,0.64,2.58,9.00,6.00,-33.33,0.09,0.06,-35.70,121.00,138.58,14.53,1.17,1.33,13.81,18.00,21.00,16.67,0.18,0.20,11.53
