,FIPS,State,County,Percent_Change_Groc_Stor_09_16,"SNAP-authorized stores (% change), 2012-16","SNAP-authorized stores/1,000 pop (% change), 2012-16",WICS12,SNAPS16,GROC14,SUPERC14,CONVS14,SPECS14
0,1001,AL,Autauga,-33.33333333,12.69487751,12.8941719,5,42.16666667,4,1,30,2
1,1003,AL,Baldwin,20.83333333,43.19277108,30.99039041,27,198.0833333,29,6,118,26
2,1005,AL,Barbour,0,0.956937799,5.762744659,7,35.16666667,5,1,19,2
3,1007,AL,Bibb,-16.66666667,20.51282051,20.26799475,5,19.58333333,5,1,15,1
4,1009,AL,Blount,0,23.90350877,24.1654703,6,47.08333333,6,1,27,0
5,1011,AL,Bullock,0,-22.6744186,-21.83862772,2,11.08333333,2,0,3,0
6,1013,AL,Butler,0,-5.198776758,-3.733951377,4,25.83333333,3,1,21,0
7,1015,AL,Calhoun,8,-1.6918429,0.611229246,19,135.5833333,27,3,74,1
8,1017,AL,Chambers,0,9.489051095,10.20403145,6,37.5,7,1,23,2
9,1019,AL,Cherokee,25,4.301075269,5.501196485,6,32.33333333,5,1,18,1
10,1021,AL,Chilton,-14.28571429,15.15151515,14.8318027,7,53.83333333,6,1,34,3
11,1023,AL,Choctaw,-25,-6.12244898,-1.498295,3,15.33333333,3,0,12,0
12,1025,AL,Clarke,-16.66666667,2.074688797,5.292769958,8,41,5,2,13,2
13,1027,AL,Clay,0,30.32786885,29.77726935,3,13.25,3,0,7,1
14,1029,AL,Cleburne,-33.33333333,-31.5,-31.92227285,5,11.41666667,2,0,10,0
15,1031,AL,Coffee,-28.57142857,20.44444444,20.5055766,8,45.16666667,5,1,27,1
16,1033,AL,Colbert,11.11111111,35.87443946,36.45085825,8,75.75,10,1,43,3
17,1035,AL,Conecuh,-33.33333333,-31.13553114,-27.87981684,1,15.66666667,2,0,14,0
18,1037,AL,Coosa,,-20,-17.08912201,1,4,1,0,8,0
19,1039,AL,Covington,-40,12.13675214,13.62460429,9,54.66666667,6,1,35,2
20,1041,AL,Crenshaw,-25,-9.053497942,-7.942241898,5,18.41666667,3,0,7,0
21,1043,AL,Cullman,50,5.376344086,2.781257876,11,81.66666667,15,1,49,4
22,1045,AL,Dale,14.28571429,42.59681093,46.12508696,8,52.16666667,8,1,32,0
23,1047,AL,Dallas,-11.11111111,-13.49325337,-7.317906733,10,48.08333333,8,1,31,0
24,1049,AL,DeKalb,16.66666667,-2.186878728,-1.938552045,11,82,14,1,50,3
25,1051,AL,Elmore,0,13.81495564,12.18702011,10,74.83333333,10,2,56,0
26,1053,AL,Escambia,-50,6.311637081,7.061183716,6,44.91666667,4,1,29,0
27,1055,AL,Etowah,-31.57894737,16.41914191,18.49408236,17,117.5833333,13,2,68,5
28,1057,AL,Fayette,0,-6.578947368,-4.111583655,5,11.83333333,5,1,8,0
29,1059,AL,Franklin,33.33333333,5.691056911,6.13550204,7,32.5,8,1,16,1
30,1061,AL,Geneva,-9.090909091,37.76978417,39.41076342,7,31.91666667,10,0,14,1
31,1063,AL,Greene,-60,12.08791209,18.13017189,2,17,2,0,12,0
32,1065,AL,Hale,-25,-3.314917127,-0.49558218,3,14.58333333,3,0,15,0
33,1067,AL,Henry,-25,-14.69194313,-14.0806118,3,15,3,0,15,1
